location,n,n_sites,R2,F_value,p_value,dispersion_p,permutations_used,permutation_type
Carrickalinga,110,14,0.010902183557345874,1.1904139354265975,0.602,0.01,999,Monte Carlo whole-site
Encounter Bay,46,7,0.012014245795440128,0.535055098466445,1,0.341,20,exact whole-site
Rapid Head,117,10,0.016279556286425183,1.903131102848159,0.34285714285714286,0.191,209,exact whole-site
Southern Metro,90,14,0.02536764661894258,2.2904563907844655,0.5,0.903,999,Monte Carlo whole-site
Sponge Gardens,34,5,0.11856023872280778,4.304239275106569,0.2,0.008333333333333333,9,exact whole-site
