"metric","location","region","Period","status","n_transects","n_sites","n_dates","n_positive","prop_zero"
"M1 fish species richness","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,210,0.009433962264150943
"M1 fish species richness","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,166,0
"M1 fish species richness","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,44,0
"M1 fish species richness","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M1 fish species richness","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",11,2,2,11,0
"M1 fish species richness","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,12,0
"M1 fish species richness","Encounter Bay","South Coast","Pre-bloom","Fished",115,5,10,114,0.008695652173913044
"M1 fish species richness","Encounter Bay","South Coast","Pre-bloom","No-take",14,2,4,14,0
"M1 fish species richness","Encounter Bay","South Coast","Bloom","Fished",28,5,3,27,0.03571428571428571
"M1 fish species richness","Encounter Bay","South Coast","Bloom","No-take",8,2,2,5,0.375
"M1 fish species richness","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,58,0.03333333333333333
"M1 fish species richness","Metro","Adelaide Metro","Bloom","Fished",8,3,2,7,0.125
"M1 fish species richness","Rapid Head","Fleurieu","Pre-bloom","Fished",250,6,20,250,0
"M1 fish species richness","Rapid Head","Fleurieu","Pre-bloom","No-take",180,4,18,180,0
"M1 fish species richness","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,30,0
"M1 fish species richness","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,14,0
"M1 fish species richness","Southern Fleurieu","South Coast","Pre-bloom","Fished",89,6,7,89,0
"M1 fish species richness","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M1 fish species richness","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,133,0.022058823529411766
"M1 fish species richness","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,86,0
"M1 fish species richness","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,20,0
"M1 fish species richness","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,24,0
"M1 fish species richness","Southern Yorke","Southern Yorke","Pre-bloom","Fished",12,3,1,12,0
"M1 fish species richness","Southern Yorke","Southern Yorke","Bloom","Fished",14,3,2,14,0
"M1 fish species richness","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,60,0
"M1 fish species richness","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,68,0
"M1 fish species richness","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M1 fish species richness","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M1 fish species richness","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,72,0
"M1 fish species richness","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,10,0.5
"M2 fish species richness","Carrickalinga","Fleurieu","Pre-bloom","Fished",211,10,16,186,0.11848341232227488
"M2 fish species richness","Carrickalinga","Fleurieu","Pre-bloom","No-take",165,4,13,140,0.15151515151515152
"M2 fish species richness","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,22,0.5
"M2 fish species richness","Carrickalinga","Fleurieu","Bloom","No-take",19,4,1,11,0.42105263157894735
"M2 fish species richness","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,8,0.4666666666666667
"M2 fish species richness","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,8,0.3333333333333333
"M2 fish species richness","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,52,0.5555555555555556
"M2 fish species richness","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,11,0.5416666666666666
"M2 fish species richness","Encounter Bay","South Coast","Bloom","Fished",28,5,3,10,0.6428571428571429
"M2 fish species richness","Encounter Bay","South Coast","Bloom","No-take",8,2,2,4,0.5
"M2 fish species richness","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,59,0.016666666666666666
"M2 fish species richness","Metro","Adelaide Metro","Bloom","Fished",8,3,2,2,0.75
"M2 fish species richness","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,207,0.16532258064516128
"M2 fish species richness","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,147,0.1694915254237288
"M2 fish species richness","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,20,0.3333333333333333
"M2 fish species richness","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,12,0.14285714285714285
"M2 fish species richness","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,48,0.4725274725274725
"M2 fish species richness","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,6,0.7857142857142857
"M2 fish species richness","Southern Metro","Adelaide Metro","Pre-bloom","Fished",134,7,13,121,0.09701492537313433
"M2 fish species richness","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,85,0.011627906976744186
"M2 fish species richness","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,14,0.3
"M2 fish species richness","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,12,0.5
"M2 fish species richness","Southern Yorke","Southern Yorke","Pre-bloom","Fished",19,3,2,9,0.5263157894736842
"M2 fish species richness","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,13,0.13333333333333333
"M2 fish species richness","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,56,0.06666666666666667
"M2 fish species richness","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,61,0.10294117647058823
"M2 fish species richness","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,11,0.08333333333333333
"M2 fish species richness","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,6,0.25
"M2 fish species richness","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,67,0.06944444444444445
"M2 fish species richness","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,10,0.5
"M2 invertebrate species richness","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,208,0.018867924528301886
"M2 invertebrate species richness","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,166,0
