survey_id,location,mpa,site_code,site_name,latitude,longitude,depth,survey_date,sampling_event,program,block,id
5000356,Encounter,Encounter Marine Park,GSV26,2nd Valley Boat Shed,-35.50945,138.21448999999998,4,2008-02-06,4,RLS,2,5000356 2
5000360,Encounter,Encounter Marine Park,GSV4,Rapid Head,-35.52045,138.16443,4.9,2008-02-06,4,RLS,1,5000360 1
5000361,Encounter,Encounter Marine Park,GSV4,Rapid Head,-35.52045,138.16443,5,2008-02-06,4,RLS,1,5000361 1
5000366,Encounter,Encounter Marine Park,GSV93,Aldinga Reef,-35.26825,138.43202,6,2008-02-08,1,RLS,2,5000366 2
812319933,Yorke Peninsula,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.3,2005-04-11,1,ATRC,1,812319933 1
812319934,Yorke Peninsula,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.4,2005-04-11,1,ATRC,1,812319934 1
812320451,Yorke Peninsula,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.1,2005-04-12,1,ATRC,1,812320451 1
812320452,Yorke Peninsula,Lower Yorke Peninsula MP,GSV191,Edithburgh,-35.08315,137.74876,2.2,2005-04-12,1,ATRC,1,812320452 1
912344063,Encounter,Encounter Marine Park,GSV2,Haycock Point,-35.41506,138.32132,7,2014-01-18,6,RLS,2,912344063 2
912345624,Encounter,Encounter Marine Park,COO18,Pullen Island,-35.53778,138.69255,5.3,2012-10-29,1,RLS,2,912345624 2
912345625,Encounter,Encounter Marine Park,COO18,Pullen Island,-35.53778,138.69255,5.4,2012-10-29,1,RLS,2,912345625 2
912345626,Encounter,Encounter Marine Park,COO18,Pullen Island,-35.53778,138.69255,5.1,2012-10-29,1,RLS,2,912345626 2
923400373,Encounter,Encounter Marine Park,GSV47,Carrickalinga Nth,-35.371190000000006,138.37876,5.1,2021-03-11,7,RLS,2,923400373 2
923403614,Encounter,Encounter Marine Park,GSV26,2nd Valley Boat Shed,-35.50945,138.21448999999998,6,2023-12-21,17,RLS,1,923403614 1
923406646,Encounter,Encounter Marine Park,GSV183,Aldinga SZ1,-35.26631,138.43649,5.3,2026-01-29,2,RLS,1,923406646 1
923406748,Adelaide,NA,GSV109,Outer Harbor breakwater south inside,-34.788509999999995,138.46726,5.1,2025-12-18,2,RLS,1,923406748 1
923406759,Adelaide,NA,GSV115,Port Gawler,-34.61942,138.31052,10.2,2026-01-29,5,RLS,1,923406759 1
923406808,Encounter,Encounter Marine Park,GSV131,Horseshoe outer,-35.1394,138.45799,12.2,2025-11-14,11,RLS,1,923406808 1
