campaignid,sample,date,location,region,depth_m,method,successful_count,successful_length,status,reporting_location,reporting_sanctuary,reporting_name,site,uwa_site_code,year,period,event_number,start_date,start_month,geometry
2025-04_Pages_BRUVS,PIEI01_2504,2025-04-09,Encounter,South Coast,20.6,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.304571025074, -35.7575320266187)"
2025-04_Pages_BRUVS,PIEI02_2504,2025-04-09,Encounter,South Coast,23.3,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.306502969936, -35.7588769868016)"
2025-04_Pages_BRUVS,PIEI03_2504,2025-04-09,Encounter,South Coast,21.2,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.30562395975, -35.7606940157712)"
2025-04_Pages_BRUVS,PIEI04_2504,2025-04-09,Encounter,South Coast,18.8,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ East,2025,Bloom,1,2025-04-09,2025-04,"c(138.303100001067, -35.7615720201284)"
2025-04_Pages_BRUVS,PIEO01_2504,2025-04-09,Encounter,South Coast,21.5,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.292430005968, -35.7823589723557)"
2025-04_Pages_BRUVS,PIEO02_2504,2025-04-09,Encounter,South Coast,16.4,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.291924996302, -35.7805019617081)"
2025-04_Pages_BRUVS,PIEO03_2504,2025-04-09,Encounter,South Coast,16.2,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.293177001178, -35.7789919618517)"
2025-04_Pages_BRUVS,PIEO04_2504,2025-04-09,Encounter,South Coast,14.2,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside East,2025,Bloom,1,2025-04-09,2025-04,"c(138.294811975211, -35.7773940358311)"
2025-04_Pages_BRUVS,PIWI01_2504,2025-04-09,Encounter,South Coast,19.4,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ West,2025,Bloom,1,2025-04-09,2025-04,"c(138.298090975732, -35.7612479757518)"
2025-04_Pages_BRUVS,PIWI02_2504,2025-04-09,Encounter,South Coast,15.8,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ West,2025,Bloom,1,2025-04-09,2025-04,"c(138.297353032976, -35.7596430089325)"
2025-04_Pages_BRUVS,PIWI03_2504,2025-04-09,Encounter,South Coast,15,BRUVs,Yes,Yes,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ West,2025,Bloom,1,2025-04-09,2025-04,"c(138.296883981675, -35.7580689713359)"
2025-04_Pages_BRUVS,PIWI04_2504,2025-04-09,Encounter,South Coast,19,BRUVs,Yes,No,No-take,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages SZ West,2025,Bloom,1,2025-04-09,2025-04,"c(138.298160964623, -35.7570209819824)"
2025-04_Pages_BRUVS,PIWO01_2504,2025-04-09,Encounter,South Coast,13.1,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside West,2025,Bloom,1,2025-04-09,2025-04,"c(138.2916550152, -35.7740209903568)"
2025-04_Pages_BRUVS,PIWO02_2504,2025-04-09,Encounter,South Coast,16.4,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside West,2025,Bloom,1,2025-04-09,2025-04,"c(138.289597006515, -35.7748040277511)"
2025-04_Pages_BRUVS,PIWO03_2504,2025-04-09,Encounter,South Coast,16.1,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside West,2025,Bloom,1,2025-04-09,2025-04,"c(138.288532420993, -35.7764228247106)"
2025-04_Pages_BRUVS,PIWO04_2504,2025-04-09,Encounter,South Coast,16.4,BRUVs,Yes,Yes,Fished,The Pages,The Pages,The Pages - The Pages Sanctuary Zone,Pages,The Pages outside West,2025,Bloom,1,2025-04-09,2025-04,"c(138.288746997714, -35.7786590326577)"
2025-04_SpongeGardens_BRUVS,SGCI01_2504,2025-04-02,Encounter,Kangaroo Island,6,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ central,2025,Bloom,1,2025-04-02,2025-04,"c(138.03625, -35.741319)"
2025-04_SpongeGardens_BRUVS,SGCI02_2504,2025-04-02,Encounter,Kangaroo Island,7,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ central,2025,Bloom,1,2025-04-02,2025-04,"c(138.040062, -35.74077602)"
2025-04_SpongeGardens_BRUVS,SGCI03_2504,2025-04-02,Encounter,Kangaroo Island,12.8,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ central,2025,Bloom,1,2025-04-02,2025-04,"c(138.043096, -35.74138798)"
2025-04_SpongeGardens_BRUVS,SGCI04_2504,2025-04-02,Encounter,Kangaroo Island,13.5,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ central,2025,Bloom,1,2025-04-02,2025-04,"c(138.045048, -35.74195803)"
2025-04_SpongeGardens_BRUVS,SGCO01_2504,2025-04-02,Encounter,Kangaroo Island,3.8,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside central,2025,Bloom,1,2025-04-02,2025-04,"c(137.960223, -35.72083798)"
2025-04_SpongeGardens_BRUVS,SGCO02_2504,2025-04-02,Encounter,Kangaroo Island,9,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside central,2025,Bloom,1,2025-04-02,2025-04,"c(137.962368, -35.72005)"
2025-04_SpongeGardens_BRUVS,SGCO03_2504,2025-04-02,Encounter,Kangaroo Island,13,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside central,2025,Bloom,1,2025-04-02,2025-04,"c(137.965315, -35.71931197)"
2025-04_SpongeGardens_BRUVS,SGCO04_2504,2025-04-02,Encounter,Kangaroo Island,7.7,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside central,2025,Bloom,1,2025-04-02,2025-04,"c(137.969189, -35.71935103)"
2025-04_SpongeGardens_BRUVS,SGEI01_2504,2025-04-02,Encounter,Kangaroo Island,9,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ East,2025,Bloom,1,2025-04-02,2025-04,"c(138.060027, -35.752855)"
2025-04_SpongeGardens_BRUVS,SGEI03_2504,2025-04-02,Encounter,Kangaroo Island,13,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ East,2025,Bloom,1,2025-04-02,2025-04,"c(138.065129, -35.756399)"
2025-04_SpongeGardens_BRUVS,SGEI04_2504,2025-04-02,Encounter,Kangaroo Island,11,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ East,2025,Bloom,1,2025-04-02,2025-04,"c(138.06639, -35.75845)"
2025-04_SpongeGardens_BRUVS,SGEO01_2504,2025-04-02,Encounter,Kangaroo Island,4.8,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside East,2025,Bloom,1,2025-04-02,2025-04,"c(137.995698, -35.726205)"
2025-04_SpongeGardens_BRUVS,SGEO02_2504,2025-04-02,Encounter,Kangaroo Island,12.2,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside East,2025,Bloom,1,2025-04-02,2025-04,"c(137.9982, -35.72576101)"
2025-04_SpongeGardens_BRUVS,SGEO03_2504,2025-04-02,Encounter,Kangaroo Island,6.9,BRUVs,Yes,No,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside East,2025,Bloom,1,2025-04-02,2025-04,"c(138.002264, -35.72566998)"
2025-04_SpongeGardens_BRUVS,SGEO04_2504,2025-04-02,Encounter,Kangaroo Island,5.8,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside East,2025,Bloom,1,2025-04-02,2025-04,"c(138.004771, -35.72623903)"
2025-04_SpongeGardens_BRUVS,SGWI01_2504,2025-04-02,Encounter,Kangaroo Island,6.8,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ West,2025,Bloom,1,2025-04-02,2025-04,"c(138.012213, -35.72889601)"
2025-04_SpongeGardens_BRUVS,SGWI02_2504,2025-04-02,Encounter,Kangaroo Island,10,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ West,2025,Bloom,1,2025-04-02,2025-04,"c(138.015964, -35.73076501)"
2025-04_SpongeGardens_BRUVS,SGWI03_2504,2025-04-02,Encounter,Kangaroo Island,13.8,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ West,2025,Bloom,1,2025-04-02,2025-04,"c(138.020081, -35.73289703)"
2025-04_SpongeGardens_BRUVS,SGWI04_2504,2025-04-02,Encounter,Kangaroo Island,6.1,BRUVs,Yes,Yes,No-take,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens SZ West,2025,Bloom,1,2025-04-02,2025-04,"c(138.021722, -35.73503701)"
2025-04_SpongeGardens_BRUVS,SGWO01_2504,2025-04-02,Encounter,Kangaroo Island,7.4,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside West,2025,Bloom,1,2025-04-02,2025-04,"c(137.940404, -35.71594899)"
2025-04_SpongeGardens_BRUVS,SGWO02_2504,2025-04-02,Encounter,Kangaroo Island,6.6,BRUVs,Yes,No,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside West,2025,Bloom,1,2025-04-02,2025-04,"c(137.938029, -35.71608997)"
2025-04_SpongeGardens_BRUVS,SGWO03_2504,2025-04-02,Encounter,Kangaroo Island,4.9,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside West,2025,Bloom,1,2025-04-02,2025-04,"c(137.936196, -35.71591596)"
2025-04_SpongeGardens_BRUVS,SGWO04_2504,2025-04-02,Encounter,Kangaroo Island,5.4,BRUVs,Yes,Yes,Fished,Sponge Gardens,Sponge Gardens,Sponge Gardens - Sponge Gardens Sanctuary Zone,Sponge Gardens,Sponge Gardens outside West,2025,Bloom,1,2025-04-02,2025-04,"c(137.934072, -35.71571899)"
2025-10_Glenelg_BRUVS,GL_T01_2510,2025-10-21,Encounter,Adelaide Metro,7,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg Shellfish Reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.4958, -34.9707)"
2025-10_Glenelg_BRUVS,GL_T02_2510,2025-10-21,Encounter,Adelaide Metro,6.9,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg Shellfish Reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.497, -34.9722)"
2025-10_Glenelg_BRUVS,GL_T03_2510,2025-10-21,Encounter,Adelaide Metro,6.9,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg Shellfish Reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.4986, -34.9735)"
2025-10_Glenelg_BRUVS,GL_T04_2510,2025-10-21,Encounter,Adelaide Metro,6.9,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg Shellfish Reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.4997, -34.975)"
2025-10_Glenelg_BRUVS,GL_T05_2510,2025-10-21,Encounter,Adelaide Metro,4.4,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg Shellfish Reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.49674, -34.9732)"
2025-10_Glenelg_BRUVS,GL_T06_2510,2025-10-21,Encounter,Adelaide Metro,5.7,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg Shellfish Reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.49793, -34.97272)"
2025-10_Glenelg_BRUVS,GL_T07_2510,2025-10-21,Encounter,Adelaide Metro,5.2,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg Shellfish Reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.499, -34.97248)"
2025-10_Glenelg_BRUVS,GLCC01_2510,2025-10-21,NA,Adelaide Metro,10.9,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg rocky reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.4777152, -34.96389295)"
2025-10_Glenelg_BRUVS,GLCC02_2510,2025-10-21,NA,Adelaide Metro,9.2,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg rocky reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.4803, -34.9633)"
2025-10_Glenelg_BRUVS,GLCC03_2510,2025-10-21,NA,Adelaide Metro,10.1,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg rocky reef,2025,Bloom,1,2025-10-21,2025-10,"c(138.4804, -34.9654)"
2025-10_Glenelg_BRUVS,GLNC01_2510,2025-10-21,NA,Adelaide Metro,4.3,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg sand,2025,Bloom,1,2025-10-21,2025-10,"c(138.4939, -34.9566)"
2025-10_Glenelg_BRUVS,GLNC02_2510,2025-10-21,NA,Adelaide Metro,4.2,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg sand,2025,Bloom,1,2025-10-21,2025-10,"c(138.4942, -34.9586)"
2025-10_Glenelg_BRUVS,GLNC03_2510,2025-10-21,NA,Adelaide Metro,5,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg sand,2025,Bloom,1,2025-10-21,2025-10,"c(138.4944, -34.9606)"
2025-10_Glenelg_BRUVS,GLNC04_2510,2025-10-21,NA,Adelaide Metro,5.1,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg sand,2025,Bloom,1,2025-10-21,2025-10,"c(138.4946, -34.9625)"
2025-10_Glenelg_BRUVS,GLSC01_2510,2025-10-21,NA,Adelaide Metro,10.6,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg seagrass,2025,Bloom,1,2025-10-21,2025-10,"c(138.4807, -34.9762)"
2025-10_Glenelg_BRUVS,GLSC02_2510,2025-10-21,NA,Adelaide Metro,10.8,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg seagrass,2025,Bloom,1,2025-10-21,2025-10,"c(138.4808, -34.978)"
2025-10_Glenelg_BRUVS,GLSC03_2510,2025-10-21,NA,Adelaide Metro,10.7,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg seagrass,2025,Bloom,1,2025-10-21,2025-10,"c(138.4808, -34.9798)"
2025-10_Glenelg_BRUVS,GLSC04_2510,2025-10-21,NA,Adelaide Metro,11.2,BRUVs,Yes,Yes,Fished,Glenelg,NA,Glenelg,Glenelg Shellfish Reef,Glenelg seagrass,2025,Bloom,1,2025-10-21,2025-10,"c(138.481, -34.9816)"
2025-10_OffshoreArdrossan_BRUVS,OANO01_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,17,BRUVs,Yes,Yes,Fished,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan outside North,2025,Bloom,1,2025-10-13,2025-10,"c(138.02931, -34.45249)"
2025-10_OffshoreArdrossan_BRUVS,OANO03_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,17,BRUVs,Yes,Yes,Fished,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan outside North,2025,Bloom,1,2025-10-13,2025-10,"c(138.03426, -34.45194)"
2025-10_OffshoreArdrossan_BRUVS,OANO04_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,16.4,BRUVs,Yes,Yes,Fished,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan outside North,2025,Bloom,1,2025-10-13,2025-10,"c(138.03671, -34.45208)"
2025-10_OffshoreArdrossan_BRUVS,OASI01_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,16.5,BRUVs,Yes,Yes,No-take,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan SZ Zanoni Shipwreck,2025,Bloom,1,2025-10-13,2025-10,"c(138.06393, -34.51146)"
2025-10_OffshoreArdrossan_BRUVS,OASI03_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,16.8,BRUVs,Yes,Yes,No-take,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan SZ Zanoni Shipwreck,2025,Bloom,1,2025-10-13,2025-10,"c(138.06348, -34.51328)"
2025-10_OffshoreArdrossan_BRUVS,OASI04.2_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,17,BRUVs,Yes,Yes,No-take,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan SZ Zanoni Shipwreck,2025,Bloom,1,2025-10-13,2025-10,"c(138.06216, -34.51217)"
2025-10_OffshoreArdrossan_BRUVS,OASI05_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,12.2,BRUVs,Yes,Yes,No-take,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan SZ,2025,Bloom,1,2025-10-13,2025-10,"c(138.08388, -34.51411)"
2025-10_OffshoreArdrossan_BRUVS,OASI06_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,12,BRUVs,Yes,Yes,No-take,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan SZ,2025,Bloom,1,2025-10-13,2025-10,"c(138.08739, -34.5139)"
2025-10_OffshoreArdrossan_BRUVS,OASI07_2510,2025-10-13,Upper Gulf St Vincent,Upper Gulf St Vincent,11.5,BRUVs,Yes,Yes,No-take,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan SZ,2025,Bloom,1,2025-10-13,2025-10,"c(138.0854, -34.51754)"
2025-10_OffshoreArdrossan_BRUVS,OASO01_2510,2025-10-13,NA,Upper Gulf St Vincent,16.7,BRUVs,Yes,Yes,Fished,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan outside South,2025,Bloom,1,2025-10-13,2025-10,"c(138.0638, -34.52854)"
2025-10_OffshoreArdrossan_BRUVS,OASO03_2510,2025-10-13,NA,Upper Gulf St Vincent,17,BRUVs,Yes,Yes,Fished,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan outside South,2025,Bloom,1,2025-10-13,2025-10,"c(138.06441, -34.53061)"
2025-10_OffshoreArdrossan_BRUVS,OASO04_2510,2025-10-13,NA,Upper Gulf St Vincent,16.5,BRUVs,Yes,Yes,Fished,Offshore Ardrossan,Offshore Ardrossan,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,Offshore Ardrossan,Offshore Ardrossan outside South,2025,Bloom,1,2025-10-13,2025-10,"c(138.06248, -34.52928)"
2025-10_VictorHarbor_BRUVS,5M_1_2510,2025-10-30,NA,South Coast,30.9,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.6063, -35.6679)"
2025-10_VictorHarbor_BRUVS,5M_2_2510,2025-10-30,NA,South Coast,27.7,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.6044, -35.6681)"
2025-10_VictorHarbor_BRUVS,5M_3_2510,2025-10-30,NA,South Coast,27.3,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.6053, -35.6693)"
2025-10_VictorHarbor_BRUVS,5M_4_2510,2025-10-30,NA,South Coast,28.3,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.6062, -35.6687)"
2025-10_VictorHarbor_BRUVS,5M_5_2510,2025-10-30,NA,South Coast,32.8,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.5967, -35.6732)"
2025-10_VictorHarbor_BRUVS,5M_6_2510,2025-10-30,NA,South Coast,27.6,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.597, -35.6742)"
2025-10_VictorHarbor_BRUVS,5M_7_2510,2025-10-30,NA,South Coast,34.1,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.5976, -35.6746)"
2025-10_VictorHarbor_BRUVS,5M_8_2510,2025-10-30,NA,South Coast,26.6,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,5 mile reef,2025,Bloom,1,2025-10-30,2025-10,"c(138.5974, -35.6735)"
2025-10_VictorHarbor_BRUVS,VHNO01_2510,2025-10-30,Encounter,South Coast,10.3,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,West Island North,2025,Bloom,1,2025-10-30,2025-10,"c(138.5738, -35.611)"
2025-10_VictorHarbor_BRUVS,VHNO02_2510,2025-10-30,Encounter,South Coast,14.3,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,West Island North,2025,Bloom,1,2025-10-30,2025-10,"c(138.5775, -35.6096)"
2025-10_VictorHarbor_BRUVS,VHNO03_2510,2025-10-30,Encounter,South Coast,7.4,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,West Island North,2025,Bloom,1,2025-10-30,2025-10,"c(138.5817, -35.6077)"
2025-10_VictorHarbor_BRUVS,VHNO04_2510,2025-10-30,Encounter,South Coast,17.9,BRUVs,Yes,Yes,Fished,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,West Island North,2025,Bloom,1,2025-10-30,2025-10,"c(138.5851, -35.6096)"
2025-10_VictorHarbor_BRUVS,VHSI01_2510,2025-10-30,Encounter,South Coast,21,BRUVs,Yes,Yes,No-take,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,Encounter Bay SZ,2025,Bloom,1,2025-10-30,2025-10,"c(138.6871, -35.5627)"
2025-10_VictorHarbor_BRUVS,VHSI02_2510,2025-10-30,Encounter,South Coast,17,BRUVs,Yes,Yes,No-take,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,Encounter Bay SZ,2025,Bloom,1,2025-10-30,2025-10,"c(138.6859, -35.5597)"
2025-10_VictorHarbor_BRUVS,VHSI03_2510,2025-10-30,Encounter,South Coast,17,BRUVs,Yes,Yes,No-take,Victor Harbor,Encounter Bay,Victor Harbor - Encounter Bay Sanctuary Zone,VictorHarbor,Encounter Bay SZ,2025,Bloom,1,2025-10-30,2025-10,"c(138.6863, -35.5569)"
