site_code,site_name,latitude,longitude
GSV155,Blowhole Beach,-35.65974,138.15997
GSV156,Loo with a View,-35.65378,138.14597
GSV157,Spaceship East,-35.64675,138.1331
GSV158,Deep Creek/Boat Harbour,-35.640859999999996,138.27266
GSV159,Kings Head North,-35.606759999999994,138.57594
GSV160,Kings Head,-35.605509999999995,138.58308
GSV161,La Hacienda,-35.578590000000005,138.11379
GSV162,"Seal Island, SA",-35.57618,138.64428999999998
GSV163,Sunset Cove South,-35.504670000000004,138.22923
GSV164,Carrickalinga Beach North,-35.41037,138.32463
GSV165,Myponga Point,-35.37988,138.36068999999998
GSV166,Swallowtail Bay,-35.37466,136.85843
GSV167,South East Cove,-35.37413,136.86195
GSV168,Boulders (East of Bay),-35.369659999999996,136.8676
GSV169,North East Boobs,-35.36785,136.8492
GSV17,The Bluff,-35.58887,138.60553000000002
GSV170,North West Bay,-35.364509999999996,136.85676999999998
GSV171,Sellick South,-35.35784,138.42148
GSV172,Seal Island SZ_West,-35.33815,136.9177
GSV173,Seal Island SZ_East,-35.33763,136.92103999999998
GSV174,Haystack Island SW,-35.323570000000004,136.90686000000002
GSV175,Haystack Island SE,-35.32343,136.90833
GSV176,Haystack Island NE,-35.32085,136.90715
GSV177,Cape Spencer,-35.300329999999995,136.88429
GSV178,Cable Bay,-35.29367,136.89819
GSV179,Chinamans Hat Island SZ,-35.2887,136.91939
GSV18,Morgans,-35.58845,138.10838
GSV180,Stenhouse Cliffs SZ,-35.28418,136.93308000000002
GSV181,Stenhouse,-35.28049,136.94395
GSV182,Aldinga SZ3,-35.280359999999995,138.43153999999998
GSV183,Aldinga SZ1,-35.26631,138.43649
GSV184,Marion Bay,-35.25268,136.97957
GSV185,Gull Rock,-35.2462,138.45956
GSV186,West Cape,-35.24345,136.82542
GSV187,Point Yorke,-35.23088,137.18814
GSV188,Middle Island,-35.21768,136.8322
GSV189,Troubridge Point,-35.16955,137.67406
GSV19,Hog Point,-35.71974,137.96448
GSV190,Troubridge Lighthouse,-35.16912,137.63817
GSV191,Edithburgh,-35.08315,137.74876
GSV192,Port Giles,-35.02035,137.76241000000002
GSV193,McDonalds,-35.01729,137.76181
GSV194,Port Julia,-34.6629,137.88554
GSV195,Foul Bay South,-35.23792,137.17405
GSV2,Haycock Point,-35.41506,138.32132
GSV20,Snapper North,-35.749829999999996,138.05536999999998
GSV21,Cable Hut,-35.73268,138.0191
GSV24,Ripple Rock,-35.3841,138.35586999999998
GSV25,Shag Rock Carrickalinga,-35.39933,138.33456
GSV26,2nd Valley Boat Shed,-35.50945,138.21448999999998
GSV28,Rapid Head Windmills,-35.53085,138.15289
GSV3,Carrickalinga Head,-35.398,138.33591
GSV30,Porpoise Head,-35.66193,138.21451000000002
GSV34,Nev's Windmills,-35.5526,138.12984
GSV39,Fishery Beach,-35.63411,138.11183
GSV4,Rapid Head,-35.52045,138.16443
GSV40,Whalebone Reef,-35.5714,138.61166
GSV41,Rapid Head East,-35.519459999999995,138.17719
GSV42,Rapid Head SZ Site2,-35.52262,138.16308999999998
GSV43,Rapid Head SZ,-35.5186,138.17102
GSV45,Carrickalinga North Site,-35.3777,138.36288000000002
GSV46,Carrickalinga North Site 2,-35.37312,138.37358
GSV47,Carrickalinga Nth,-35.371190000000006,138.37876
GSV5,Rapid Head South,-35.53145,138.1519
GSV53,Moana inside,-35.2091,138.46428999999998
GSV55,Pancake Rock,-35.740829999999995,138.03985
GSV56,The Bird,-35.75675,138.06533000000002
GSV57,Grassy Knoll,-35.72388,137.98821999999998
GSV58,Penneshaw Pub,-35.71625,137.93896999999998
GSV59,Puzzle Rock,-35.7215,137.98051999999998
GSV60,Dashwood Bay West,-35.58627,137.37837
GSV61,Western River West,-35.675470000000004,136.93909
GSV62,Snug_Cove_East,-35.69308,136.85916
GSV63,Pissy_Boy_East,-35.686820000000004,136.88361
GSV64,Big_W,-35.68327,136.90675
GSV65,Hummocky_Point_East,-35.60394,137.24323
GSV66,Harveys Return,-35.74523,136.64696999999998
GSV67,Master Jack,-35.71291,136.77007
