project,campaignid,location,Region,site_name,latitude,longitude,year,survey_date,sample
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2021,2021/11,ISMI04_2111
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2021,2021/11,ISSI01_2111
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2021,2021/11,ISSI02_2111
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2021,2021/11,ISSI03_2111
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2021,2021/11,ISSI04_2111
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKEO44_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKEO46_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKEO48_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKEO50_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKEO51_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKEO52_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO24_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO25_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO26_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO27_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO29_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO31_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO32_2205
