spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period,Bloom,by_status,No-take,18.25,1.8491576617398027,24,4.9375,2.0989740265867307,8,-13.3125,27.054794520547947,-72.94520547945206,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period,Bloom,overall,Overall,34.94326241134752,2.2097984121303553,141,2.3333333333333335,0.5451809077932042,36,-32.60992907801418,6.677491374061296,-93.32250862593871,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2025-06,by_status,Fished,38.36752136752137,2.5237918380409665,117,2,0.4909902530309828,8,-36.36752136752137,5.212742258854979,-94.78725774114503,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2025-06,overall,Overall,34.94326241134752,2.2097984121303553,141,2,0.4909902530309828,8,-32.94326241134752,5.723564034909681,-94.27643596509031,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-02,by_status,Fished,38.36752136752137,2.5237918380409665,117,2.125,0.4527901714855783,12,-36.24252136752137,5.538538650033415,-94.46146134996658,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-02,by_status,No-take,18.25,1.8491576617398027,24,9.125,2.967708150520645,4,-9.125,50,-50,FALSE,Medium
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-02,overall,Overall,34.94326241134752,2.2097984121303553,141,3.875,1.079641144084459,16,-31.06826241134752,11.089405317637507,-88.9105946823625,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-05,by_status,Fished,38.36752136752137,2.5237918380409665,117,0.375,0.125,8,-37.99252136752137,0.9773891735353085,-99.02261082646469,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-05,by_status,No-take,18.25,1.8491576617398027,24,0.75,0.25,4,-17.5,4.10958904109589,-95.89041095890411,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-05,overall,Overall,34.94326241134752,2.2097984121303553,141,0.5,0.12309149097933274,12,-34.44326241134752,1.4308910087274203,-98.56910899127259,FALSE,High
