spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Cnidaria abundance,period_split,Bloom 2026-01,by_status,Fished,0,0,212,0,0,44,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Cnidaria abundance,period_split,Bloom 2026-01,by_status,No-take,0,0,166,0,0,20,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Cnidaria abundance,period_split,Bloom 2026-01,overall,Overall,0,0,378,0,0,64,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period,Bloom,by_status,Fished,5.615566037735849,0.767183237917639,212,1.25,0.18712524211550527,44,-4.365566037735849,22.259554808903818,-77.74044519109619,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period,Bloom,by_status,No-take,5.2379518072289155,1.6950451911984477,166,0.55,0.1446411166701189,20,-4.687951807228916,10.500287521564118,-89.49971247843588,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period,Bloom,overall,Overall,5.449735449735449,0.8585304560958075,378,1.03125,0.1416819844659942,64,-4.418485449735449,18.922936893203886,-81.07706310679612,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-01,by_status,Fished,5.615566037735849,0.767183237917639,212,1.25,0.18712524211550527,44,-4.365566037735849,22.259554808903818,-77.74044519109619,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-01,by_status,No-take,5.2379518072289155,1.6950451911984477,166,0.55,0.1446411166701189,20,-4.687951807228916,10.500287521564118,-89.49971247843588,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-01,overall,Overall,5.449735449735449,0.8585304560958075,378,1.03125,0.1416819844659942,64,-4.418485449735449,18.922936893203886,-81.07706310679612,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period,Bloom,by_status,Fished,6.212264150943396,0.6922972053793391,212,1.9204545454545454,0.27053270496396925,44,-4.291809605488851,30.913922827362466,-69.08607717263753,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period,Bloom,by_status,No-take,34.93072289156626,4.464998980195339,166,4.85,0.5838844514384494,20,-30.08072289156626,13.88462533413814,-86.11537466586186,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period,Bloom,overall,Overall,18.824074074074073,2.1262757567929302,378,2.8359375,0.30942027837256364,64,-15.988136574074073,15.065482046237088,-84.9345179537629,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-01,by_status,Fished,6.212264150943396,0.6922972053793391,212,1.9204545454545454,0.27053270496396925,44,-4.291809605488851,30.913922827362466,-69.08607717263753,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-01,by_status,No-take,34.93072289156626,4.464998980195339,166,4.85,0.5838844514384494,20,-30.08072289156626,13.88462533413814,-86.11537466586186,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-01,overall,Overall,18.824074074074073,2.1262757567929302,378,2.8359375,0.30942027837256364,64,-15.988136574074073,15.065482046237088,-84.9345179537629,FALSE,High
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,by_status,Fished,0,0,212,0,0,44,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,by_status,No-take,0,0,166,0,0,20,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,overall,Overall,0,0,378,0,0,64,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-01,by_status,Fished,0,0,212,0,0,44,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-01,by_status,No-take,0,0,166,0,0,20,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-01,overall,Overall,0,0,378,0,0,64,0,NA,NA,TRUE,Undefined - pre-bloom zero
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period,Bloom,by_status,Fished,0.6014150943396226,0.03943669562035604,212,1.4772727272727273,0.11829763393288463,44,0.8758576329331047,245.63279857397507,145.63279857397507,FALSE,Low
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period,Bloom,by_status,No-take,0.7650602409638554,0.04200929563746381,166,1.65,0.09665456669582609,20,0.8849397590361445,215.66929133858267,115.66929133858267,FALSE,Low
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period,Bloom,overall,Overall,0.6732804232804233,0.029066778891943503,378,1.53125,0.086884884386875,64,0.8579695767195767,227.4312377210216,127.4312377210216,FALSE,Low
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-01,by_status,Fished,0.6014150943396226,0.03943669562035604,212,1.4772727272727273,0.11829763393288463,44,0.8758576329331047,245.63279857397507,145.63279857397507,FALSE,Low
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-01,by_status,No-take,0.7650602409638554,0.04200929563746381,166,1.65,0.09665456669582609,20,0.8849397590361445,215.66929133858267,115.66929133858267,FALSE,Low
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-01,overall,Overall,0.6732804232804233,0.029066778891943503,378,1.53125,0.086884884386875,64,0.8579695767195767,227.4312377210216,127.4312377210216,FALSE,Low
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period,Bloom,by_status,Fished,2.186320754716981,0.09437245136576401,212,0.9659090909090909,0.10073425896044795,44,-1.2204116638078903,44.179660684515056,-55.820339315484944,FALSE,High
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period,Bloom,by_status,No-take,1.9367469879518073,0.0770451576126306,166,0.525,0.12811898252878268,20,-1.4117469879518074,27.107309486780718,-72.89269051321928,FALSE,High
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period,Bloom,overall,Overall,2.0767195767195767,0.0630650607560719,378,0.828125,0.08349593511396561,64,-1.2485945767195767,39.876592356687894,-60.123407643312106,FALSE,High
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-01,by_status,Fished,2.186320754716981,0.09437245136576401,212,0.9659090909090909,0.10073425896044795,44,-1.2204116638078903,44.179660684515056,-55.820339315484944,FALSE,High
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-01,by_status,No-take,1.9367469879518073,0.0770451576126306,166,0.525,0.12811898252878268,20,-1.4117469879518074,27.107309486780718,-72.89269051321928,FALSE,High
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-01,overall,Overall,2.0767195767195767,0.0630650607560719,378,0.828125,0.08349593511396561,64,-1.2485945767195767,39.876592356687894,-60.123407643312106,FALSE,High
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Mollusca species richness,period,Bloom,by_status,Fished,1.8231132075471699,0.07654877148976703,212,1.1363636363636365,0.13243095888002457,44,-0.6867495711835334,62.33094202046337,-37.66905797953663,FALSE,Medium
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Mollusca species richness,period,Bloom,by_status,No-take,2.608433734939759,0.09715714336284688,166,1.9,0.1762175688714022,20,-0.7084337349397591,72.8406466512702,-27.159353348729795,FALSE,Medium
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Mollusca species richness,period,Bloom,overall,Overall,2.167989417989418,0.0636910488441929,378,1.375,0.1146509540729656,64,-0.7929894179894181,63.4228187919463,-36.5771812080537,FALSE,Medium
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Mollusca species richness,period_split,Bloom 2026-01,by_status,Fished,1.8231132075471699,0.07654877148976703,212,1.1363636363636365,0.13243095888002457,44,-0.6867495711835334,62.33094202046337,-37.66905797953663,FALSE,Medium
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Mollusca species richness,period_split,Bloom 2026-01,by_status,No-take,2.608433734939759,0.09715714336284688,166,1.9,0.1762175688714022,20,-0.7084337349397591,72.8406466512702,-27.159353348729795,FALSE,Medium
location,Carrickalinga,invert_phylum_richness,M2 invertebrate Mollusca species richness,period_split,Bloom 2026-01,overall,Overall,2.167989417989418,0.0636910488441929,378,1.375,0.1146509540729656,64,-0.7929894179894181,63.4228187919463,-36.5771812080537,FALSE,Medium
location,Carrickalinga,invert_phylum_shannon,M2 invertebrate Arthropoda Shannon diversity,period,Bloom,by_status,Fished,0.06200091196583198,0.011236203771297772,212,0.3383326745084415,0.04516554713055158,44,0.27633176254260955,545.6898354896666,445.6898354896666,FALSE,Low
