spatial_level,group_id,group_name,status,plots_saved,error
site,COO18,Pullen Island,Saved,"period, period_split, temporal",NA
site,COO19,Port Elliot Deep,Saved,"period, period_split, temporal",NA
site,GSV1,Carrickalinga (toilet),Saved,"period, period_split, temporal",NA
site,GSV105,Marino Rocks,Saved,"period, period_split, temporal",NA
site,GSV106,Normanville Beach,Saved,"period, period_split, temporal",NA
site,GSV107,Olivers Reef,Saved,"period, period_split, temporal",NA
site,GSV109,Outer Harbor breakwater south inside,Saved,"period, period_split, temporal",NA
site,GSV11,Outside Granite island,Saved,"period, period_split, temporal",NA
site,GSV110,Lady Bay,Saved,"period, period_split, temporal",NA
site,GSV111,Myponga,Saved,"period, period_split, temporal",NA
site,GSV112,Noarlunga South Outside,Saved,"period, period_split, temporal",NA
site,GSV113,Yankalilla Mouth,Saved,"period, period_split, temporal",NA
site,GSV114,South Shores,Saved,"period, period_split, temporal",NA
site,GSV115,Port Gawler,Saved,"period, period_split, temporal",NA
site,GSV116,Aldinga Pinacles,Saved,"period, period_split, temporal",NA
site,GSV117,Cape Jervis South,Saved,"period, period_split, temporal",NA
site,GSV118,Backstairs Deep,Saved,"period, period_split, temporal",NA
site,GSV119,Deep Creek,Saved,"period, period_split, temporal",NA
site,GSV121,Encounter Deep,Saved,"period, period_split, temporal",NA
site,GSV124,Horseshoe inner,Saved,"period, period_split, temporal",NA
site,GSV125,Broken Bottom,Saved,"period, period_split, temporal",NA
site,GSV127,Semaphore,Saved,"period, period_split, temporal",NA
site,GSV128,Southport,Saved,"period, period_split, temporal",NA
site,GSV129,Willunga,Saved,"period, period_split, temporal",NA
site,GSV131,Horseshoe outer,Saved,"period, period_split, temporal",NA
site,GSV134,Port Parham,Saved,"period, period_split, temporal",NA
site,GSV135,Pt Noarlunga inside,Saved,"period, period_split, temporal",NA
site,GSV136,Noarlunga North Outside,Saved,"period, period_split, temporal",NA
site,GSV138,Moana outside,Saved,"period, period_split, temporal",NA
site,GSV14,Newland Head,Saved,"period, period_split, temporal",NA
site,GSV140,Hallett Cove,Saved,"period, period_split, temporal",NA
site,GSV15,Flat Irons,Saved,"period, period_split, temporal",NA
site,GSV17,The Bluff,Saved,"period, period_split, temporal",NA
site,GSV18,Morgans,Saved,"period, period_split, temporal",NA
site,GSV182,Aldinga SZ3,Saved,"period, period_split, temporal",NA
site,GSV183,Aldinga SZ1,Saved,"period, period_split, temporal",NA
site,GSV185,Gull Rock,Saved,"period, period_split, temporal",NA
site,GSV189,Troubridge Point,Saved,"period, period_split, temporal",NA
site,GSV190,Troubridge Lighthouse,Saved,"period, period_split, temporal",NA
site,GSV191,Edithburgh,Saved,"period, period_split, temporal",NA
site,GSV194,Port Julia,Saved,"period, period_split, temporal",NA
site,GSV2,Haycock Point,Saved,"period, period_split, temporal",NA
site,GSV21,Cable Hut,Saved,"period, period_split, temporal",NA
site,GSV24,Ripple Rock,Saved,"period, period_split, temporal",NA
site,GSV26,2nd Valley Boat Shed,Saved,"period, period_split, temporal",NA
site,GSV3,Carrickalinga Head,Saved,"period, period_split, temporal",NA
site,GSV30,Porpoise Head,Saved,"period, period_split, temporal",NA
site,GSV34,Nev's Windmills,Saved,"period, period_split, temporal",NA
site,GSV39,Fishery Beach,Saved,"period, period_split, temporal",NA
site,GSV4,Rapid Head,Saved,"period, period_split, temporal",NA
site,GSV40,Whalebone Reef,Saved,"period, period_split, temporal",NA
site,GSV41,Rapid Head East,Saved,"period, period_split, temporal",NA
site,GSV42,Rapid Head SZ Site2,Saved,"period, period_split, temporal",NA
site,GSV43,Rapid Head SZ,Saved,"period, period_split, temporal",NA
site,GSV45,Carrickalinga North Site,Saved,"period, period_split, temporal",NA
site,GSV46,Carrickalinga North Site 2,Saved,"period, period_split, temporal",NA
site,GSV47,Carrickalinga Nth,Saved,"period, period_split, temporal",NA
site,GSV5,Rapid Head South,Saved,"period, period_split, temporal",NA
site,GSV53,Moana inside,Saved,"period, period_split, temporal",NA
site,GSV55,Pancake Rock,Saved,"period, period_split, temporal",NA
site,GSV57,Grassy Knoll,Saved,"period, period_split, temporal",NA
site,GSV58,Penneshaw Pub,Saved,"period, period_split, temporal",NA
site,GSV59,Puzzle Rock,Saved,"period, period_split, temporal",NA
site,GSV7,Myponga South,Saved,"period, period_split, temporal",NA
site,GSV9,Dodd's Beach,Saved,"period, period_split, temporal",NA
site,GSV93,Aldinga Reef,Saved,"period, period_split, temporal",NA
site,GSV95,Lasseters Reef,Saved,"period, period_split, temporal",NA
site,SSG46,Point Turton,Saved,"period, period_split, temporal",NA
site,SSG62,Corny Point Outside,Saved,"period, period_split, temporal",NA
site,SSG64,Point Souttar,Saved,"period, period_split, temporal",NA
