dataset,dataset_label,location,ordination,id,site_name,status,period,sampling_event,sampling_event_start_date,survey_date,axis1,axis2
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2014-09_GSVwinter.BRUVS_monoBRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2014-09_GSVwinter.BRUVS_monoBRUVS_1,2014-09-03,2014-09-03,0.5180259988254653,-0.04324373429008783
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2015-201706_SA_MPA_StereoBRUVS_2,Aldinga Reef SZ,No-take,Pre-bloom,2015-201706_SA_MPA_StereoBRUVS_2,2015-12-10,2015-12-10,0.36161065064781905,-0.9241266027653369
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2016-02_GSVsummer.BRUVS_MonoBRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2016-02_GSVsummer.BRUVS_MonoBRUVS_1,2016-02-12,2016-02-12,1.6193808649364738,-0.70766718312151
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2016-11_GSV_monoBRUVs_1,Aldinga Reef SZ,No-take,Pre-bloom,2016-11_GSV_monoBRUVs_1,2016-11-19,2016-11-19,0.5112059898349731,-0.29520230236421763
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2019-12_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2019-12_Aldinga_BRUVS_1,2019-12-07,2019-12-07,1.0588621215752039,-0.3125753796989273
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2020-11_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2020-11_Aldinga_BRUVS_1,2020-11-26,2020-11-26,1.0033387788239225,0.09625429205041294
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2021-11_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2021-11_Aldinga_BRUVS_1,2021-11-22,2021-11-22,0.9271496255534508,0.03580462542006422
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2025-02_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2025-02_Aldinga_BRUVS_1,2025-02-06,2025-02-06,-0.34810176711881746,-0.3760780738660246
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef SZ_2026-02_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Bloom,2026-02_Aldinga_BRUVS_1,2026-02-21,2026-02-21,-0.4918919696790137,-0.6366549899673825
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside North_2014-09_GSVwinter.BRUVS_monoBRUVS_1,Aldinga Reef outside North,Fished,Pre-bloom,2014-09_GSVwinter.BRUVS_monoBRUVS_1,2014-09-03,2014-09-03,-1.0459351233186982,1.6475117865044027
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside North_2016-02_GSVsummer.BRUVS_MonoBRUVS_1,Aldinga Reef outside North,Fished,Pre-bloom,2016-02_GSVsummer.BRUVS_MonoBRUVS_1,2016-02-12,2016-02-12,-0.4903733321528101,-0.035835684255389
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside North_2026-02_Aldinga_BRUVS_1,Aldinga Reef outside North,Fished,Bloom,2026-02_Aldinga_BRUVS_1,2026-02-21,2026-02-21,-1.4329983605510233,0.388423570057849
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside South_2014-09_GSVwinter.BRUVS_monoBRUVS_1,Aldinga Reef outside South,Fished,Pre-bloom,2014-09_GSVwinter.BRUVS_monoBRUVS_1,2014-09-03,2014-09-03,0.2744964150902946,1.3750353155889645
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside South_2015-201706_SA_MPA_StereoBRUVS_2,Aldinga Reef outside South,Fished,Pre-bloom,2015-201706_SA_MPA_StereoBRUVS_2,2015-12-10,2015-12-10,-0.938212503840976,-0.3782645967914298
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside South_2016-02_GSVsummer.BRUVS_MonoBRUVS_1,Aldinga Reef outside South,Fished,Pre-bloom,2016-02_GSVsummer.BRUVS_MonoBRUVS_1,2016-02-12,2016-02-12,0.9468486495004466,0.6663092932142363
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside South_2019-12_Aldinga_BRUVS_1,Aldinga Reef outside South,Fished,Pre-bloom,2019-12_Aldinga_BRUVS_1,2019-12-07,2019-12-07,0.8316885814504537,0.5908279575677003
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside South_2025-02_Aldinga_BRUVS_1,Aldinga Reef outside South,Fished,Pre-bloom,2025-02_Aldinga_BRUVS_1,2025-02-06,2025-02-06,-1.319273452332164,-0.5211471892469868
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,pco,Aldinga Reef outside South_2026-02_Aldinga_BRUVS_1,Aldinga Reef outside South,Fished,Bloom,2026-02_Aldinga_BRUVS_1,2026-02-21,2026-02-21,-1.9858211672449997,-0.5693711040363332
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2014-09_GSVwinter.BRUVS_monoBRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2014-09_GSVwinter.BRUVS_monoBRUVS_1,2014-09-03,2014-09-03,-0.8524323575695746,-0.4747665907945361
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2015-201706_SA_MPA_StereoBRUVS_2,Aldinga Reef SZ,No-take,Pre-bloom,2015-201706_SA_MPA_StereoBRUVS_2,2015-12-10,2015-12-10,-0.7261805830462181,-0.16958951576498205
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2016-02_GSVsummer.BRUVS_MonoBRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2016-02_GSVsummer.BRUVS_MonoBRUVS_1,2016-02-12,2016-02-12,-2.0282606137569656,-2.3092741976301165
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2016-11_GSV_monoBRUVs_1,Aldinga Reef SZ,No-take,Pre-bloom,2016-11_GSV_monoBRUVs_1,2016-11-19,2016-11-19,-0.7006717748886649,-0.5338044575911227
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2019-12_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2019-12_Aldinga_BRUVS_1,2019-12-07,2019-12-07,-1.1200309293623187,-1.552280627975047
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2020-11_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2020-11_Aldinga_BRUVS_1,2020-11-26,2020-11-26,-1.2035340929937561,-1.3501344086183487
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2021-11_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2021-11_Aldinga_BRUVS_1,2021-11-22,2021-11-22,-1.4352465437994366,-1.0549261415748674
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2025-02_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Pre-bloom,2025-02_Aldinga_BRUVS_1,2025-02-06,2025-02-06,0.41443786100437047,0.7746861388537474
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,Aldinga Reef SZ_2026-02_Aldinga_BRUVS_1,Aldinga Reef SZ,No-take,Bloom,2026-02_Aldinga_BRUVS_1,2026-02-21,2026-02-21,1.8574925335947674,-1.1465174210061826
