dataset,dataset_label,location,ordination,site_name,status,axis1,axis2,n_events
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,57,Fished,1.4681329569734425,-1.1743563149160674,3
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,58,Fished,0.23167127164957796,-0.7155897128922091,6
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_period,7,No-take,-0.6438251667575327,0.8685119135668283,9
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_status,57,Fished,-1.9059854391735376,-0.5481352440502181,3
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_status,58,Fished,-1.106624740155086,0.27406762202510915,6
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,cap_status,7,No-take,1.3730783064945697,-5.630623282441387e-17,9
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_period,4,No-take,0.03624234230013843,0.3799387207099602,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_period,82,Fished,0.047693072030021114,-0.27889050750823974,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_period,83,Fished,-0.15870287801056643,-0.5413431564154645,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_period,84,Fished,0.018102508455550226,-0.34727061743762005,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_period,85,No-take,0.035928956098320974,0.5457225336153723,3
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_period,86,No-take,0.029718238151115767,0.3782736604398346,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_status,4,No-take,-0.8102832954446498,0.15094268467890481,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_status,82,Fished,0.43564845064567803,0.13094945992245197,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_status,83,Fished,0.808068554463983,-0.2820935376042128,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_status,84,Fished,0.7371775635851414,0.15114407768176072,4
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_status,85,No-take,-0.8476763611095521,-0.07892851202407161,3
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,cap_status,86,No-take,-0.5348540024179884,-0.09174630066085104,4
BRUV,BRUVs,Boston Bay,cap_period,19,Fished,-0.0402488364862576,0.09659828754510383,6
BRUV,BRUVs,Boston Bay,cap_period,21,Fished,0.16976144219915879,-0.22923560567307563,6
BRUV,BRUVs,Boston Bay,cap_period,22,Fished,-0.12951260571290113,0.13263731812797183,6
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_period,15,Fished,0.02633293628118233,0.11199553516070102,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_period,31,Fished,0.05869605057546279,-0.28164815861031045,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_period,32,Fished,-0.0031296883288195465,-1.3464326199402699,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_period,33,No-take,0.08251456546144281,-0.6729981076182898,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_period,34,No-take,0.1284724896248246,1.259793472660426,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_period,35,No-take,-0.2928863536140933,0.9292898783477435,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_status,15,Fished,0.08417198485312816,-0.07746708635300686,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_status,31,Fished,-1.5415964668081457,-0.07853973979465623,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_status,32,Fished,-1.6079090024523763,0.15600682614766306,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_status,33,No-take,0.3616683691630091,0.27911696270215763,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_status,34,No-take,1.7870562575996516,0.19225157565369522,2
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,cap_status,35,No-take,0.9166088576447333,-0.4713685383558525,2
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_period,59,Fished,0.13156543045208344,-1.744634543808578,7
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_period,6,Fished,-0.44333941880686156,0.5045307038987814,7
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_period,60,Fished,0.13412799881484977,-0.11690970000414411,7
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_period,61,No-take,0.11388167183864732,0.7790052022326353,7
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_period,62,No-take,-0.18666030411315832,1.9188686905411712,7
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_period,63,No-take,0.25042462181443953,-1.340860352859866,7
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_status,59,Fished,-1.9160173431114669,-1.439064996494987,7
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,cap_status,6,Fished,-0.6686696296480451,1.0509308998188822,7
