dataset,dataset_label,location,n,n_sites,R2,F_value,p_value,dispersion_p,permutations_used,permutation_type
BRUV,BRUVs,Aldinga - Aldinga Reef Sanctuary Zone,18,3,0.14371616546219737,2.6853930375041353,0.3333333333333333,0.16666666666666666,2,exact whole-site
BRUV,BRUVs,Bay of Shoals - Bay of Shoals Sanctuary Zone,23,6,0.09181746616591953,2.123104901989422,0.1,0.3013888888888889,19,exact whole-site
BRUV,BRUVs,Cape Elizabeth - Cape Elizabeth Sanctuary Zone,12,6,0.097396724179534,1.079064598906983,0.4,0.8013888888888889,19,exact whole-site
BRUV,BRUVs,Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,42,6,0.06880508570939581,2.9555610604601457,0.4,0.8013888888888889,19,exact whole-site
BRUV,BRUVs,Chinamans Hat - Chinamans Hat Sanctuary Zone,12,6,0.04851306149691706,0.5098657641400705,1,0.5013888888888889,19,exact whole-site
BRUV,BRUVs,Cuttlefish Coast - Fairway Bank Sanctuary Zone,8,4,0.09876463010287005,0.6575283221350492,0.3333333333333333,0.041666666666666664,5,exact whole-site
BRUV,BRUVs,Middle/Long Spit - Middle Spit Sanctuary Zone,15,5,0.08864264033424661,1.2644373934367963,0.2,0.008333333333333333,9,exact whole-site
BRUV,BRUVs,Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,13,4,0.056412382612849844,0.657634963947121,1,0.375,5,exact whole-site
BRUV,BRUVs,Port Gibbon - Port Gibbon Sanctuary Zone,12,6,0.10344005985709129,1.1537439408747536,0.1,0.4013888888888889,19,exact whole-site
BRUV,BRUVs,Rapid Head - Rapid Head Sanctuary Zone,41,6,0.06821304088322598,2.855060986223157,0.5,0.4013888888888889,19,exact whole-site
BRUV,BRUVs,Sponge Gardens - Sponge Gardens Sanctuary Zone,42,6,0.07183428198123316,3.095752432424173,0.2,0.6013888888888889,19,exact whole-site
BRUV,BRUVs,The Pages - The Pages Sanctuary Zone,46,6,0.01942077328677922,0.8714380249340077,0.7,0.9013888888888889,19,exact whole-site
BRUV,BRUVs,Victor Harbor - Encounter Bay Sanctuary Zone,13,4,0.1298118656489157,1.6409446024024532,0.75,0.2916666666666667,3,exact whole-site
BRUV,BRUVs,Windara Reef - Windara Shell fish Reef Sanctuary Zone,21,3,0.10158864865320842,2.1484416036345233,0.3333333333333333,,2,exact whole-site
