spatial_level,group_name,method,taxon_key,is_selected
location,Carrickalinga,M1 fish,Notolabrus parilus,TRUE
location,Carrickalinga,M1 fish,Scorpis aequipinnis,TRUE
location,Carrickalinga,M1 fish,Cheilodactylus nigripes,TRUE
location,Carrickalinga,M1 fish,Austrolabrus maculatus,TRUE
location,Carrickalinga,M1 fish,Trachinops noarlungae,TRUE
location,Carrickalinga,M1 fish,Dinolestes lewini,TRUE
location,Carrickalinga,M1 fish,Siphamia cephalotes,TRUE
location,Carrickalinga,M1 fish,Parapriacanthus elongatus,TRUE
location,Carrickalinga,M1 fish,Siphonognathus beddomei,TRUE
location,Carrickalinga,M2 fish,Pempheris multiradiata,TRUE
location,Carrickalinga,M2 fish,Helcogramma decurrens,TRUE
location,Carrickalinga,M2 fish,Hypoplectrodes nigroruber,TRUE
location,Carrickalinga,M2 fish,Trinorfolkia clarkei,TRUE
location,Carrickalinga,M2 fish,Paraplesiops meleagris,TRUE
location,Carrickalinga,M2 fish,Chironemus georgianus,TRUE
location,Carrickalinga,M2 fish,Eocallionymus papilio,TRUE
location,Carrickalinga,M2 fish,Tripterygiidae spp,TRUE
location,Carrickalinga,M2 invertebrates,Chlorodiloma odontis,TRUE
location,Carrickalinga,M2 invertebrates,Paguristes spp,TRUE
location,Carrickalinga,M2 invertebrates,Pleuroploca australasia,TRUE
location,Carrickalinga,M2 invertebrates,Paguristes frontalis,TRUE
location,Carrickalinga,M2 invertebrates,Astralium spp,TRUE
location,Carrickalinga,M2 invertebrates,Guinusia chabrus,TRUE
location,Carrickalinga,M2 invertebrates,Lunella undulata,TRUE
location,Carrickalinga,M2 invertebrates,Cenolia trichoptera,TRUE
location,Carrickalinga,M2 invertebrates,Phasianella ventricosa,TRUE
location,Carrickalinga,M2 invertebrates,Comanthus spp,TRUE
location,Eastern Spencer Gulf,M1 fish,Notolabrus tetricus,TRUE
location,Eastern Spencer Gulf,M1 fish,Scorpis aequipinnis,TRUE
location,Eastern Spencer Gulf,M1 fish,Trachinops noarlungae,TRUE
location,Eastern Spencer Gulf,M1 fish,Girella zebra,TRUE
location,Eastern Spencer Gulf,M1 fish,Neoodax balteatus,TRUE
location,Eastern Spencer Gulf,M1 fish,Siphonognathus beddomei,TRUE
location,Eastern Spencer Gulf,M1 fish,Kyphosus sydneyanus,TRUE
location,Eastern Spencer Gulf,M2 fish,Parapercis haackei,TRUE
location,Eastern Spencer Gulf,M2 fish,Trinorfolkia clarkei,TRUE
location,Eastern Spencer Gulf,M2 fish,Trinorfolkia cristata,TRUE
location,Eastern Spencer Gulf,M2 fish,Gobiidae spp,TRUE
location,Eastern Spencer Gulf,M2 fish,Eocallionymus papilio,TRUE
location,Eastern Spencer Gulf,M2 fish,Callionymidae spp,TRUE
location,Eastern Spencer Gulf,M2 fish,Heteroclinus spp,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Paguristes spp,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Haliotis rubra,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Equichlamys bifrons,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Paguristes frontalis,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Nectocarcinus integrifrons,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Cenolia trichoptera,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Neothyonidium dearmatum,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Heliocidaris erythrogramma,TRUE
location,Eastern Spencer Gulf,M2 invertebrates,Tosia australis,TRUE
location,Encounter Bay,M1 fish,Scorpis aequipinnis,TRUE
location,Encounter Bay,M1 fish,Notolabrus tetricus,TRUE
location,Encounter Bay,M1 fish,Kyphosus sydneyanus,TRUE
location,Encounter Bay,M1 fish,Cheilodactylus nigripes,TRUE
location,Encounter Bay,M1 fish,Enoplosus armatus,TRUE
location,Encounter Bay,M1 fish,Notolabrus parilus,TRUE
location,Encounter Bay,M1 fish,Acanthaluteres brownii,TRUE
location,Encounter Bay,M1 fish,Arripis georgianus,TRUE
location,Encounter Bay,M1 fish,Girella zebra,TRUE
location,Encounter Bay,M1 fish,Acanthaluteres vittiger,TRUE
location,Encounter Bay,M1 fish,Tilodon sexfasciatus,TRUE
location,Encounter Bay,M1 fish,Siphamia cephalotes,TRUE
location,Encounter Bay,M1 fish,Olisthops cyanomelas,TRUE
location,Encounter Bay,M2 fish,Pempheris multiradiata,TRUE
location,Encounter Bay,M2 fish,Bovichtus angustifrons,TRUE
location,Encounter Bay,M2 fish,Pempheris klunzingeri,TRUE
location,Encounter Bay,M2 fish,Aetapcus maculatus,TRUE
location,Encounter Bay,M2 fish,Aploactisoma milesii,TRUE
location,Encounter Bay,M2 fish,Helcogramma decurrens,TRUE
