"reporting_name","metric","model_type","formula","family_used","fallback_used","fallback_reason","model_ok","model_issue","nbinom2_dispersion"
"Orcades Bank - Orcades Bank Sanctuary Zone","Species richness","Temporal","n_species_sample ~ 1","nbinom2",FALSE,NA,TRUE,NA,21.68480157903816
"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 95736000",TRUE,NA,95735686.86259283
"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 95736000",TRUE,NA,95735686.86259283
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness","Period","n_species_sample ~ Period + (1 | start_date_fct)","nbinom2",FALSE,NA,TRUE,NA,132.9756168487421
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness","Temporal","n_species_sample ~ start_date_fct","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 56610000",TRUE,NA,56609688.80930221
"Rapid Head - Rapid Head Sanctuary Zone","Species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,285.69108824110293
"Rapid Head - Rapid Head Sanctuary Zone","Species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 53722000",TRUE,NA,53721708.66727354
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,42.197131566351224
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,66.29644708403885
"The Pages - The Pages Sanctuary Zone","Species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 34691000",TRUE,NA,34690722.655690804
"The Pages - The Pages Sanctuary Zone","Species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 103860000",TRUE,NA,103864000.74184561
"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 94744000",TRUE,NA,94743700.05820246
"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 159670000",TRUE,NA,159669490.98186356
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 794280000",TRUE,NA,794278116.433019
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 90569000",TRUE,NA,90569071.48830105
"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 7074100000",TRUE,NA,7074120012.835879
"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 772980000",TRUE,NA,772975191.6214408
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 39777000",TRUE,NA,39777216.09749277
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 44387000",TRUE,NA,44386748.49558785
"Boston Bay","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 13784000",TRUE,NA,13784001.31379987
"Boston Bay","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 12527000",TRUE,NA,12527200.568397647
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 68616000",TRUE,NA,68616048.68481368
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 40874000",TRUE,NA,40874050.88691837
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 4005000",TRUE,NA,4004968.8805215005
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 503110000",TRUE,NA,503111618.9559043
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 1691100000",TRUE,NA,1691091425.429975
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 1691100000",TRUE,NA,1691091425.429975
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 1.1631e+10",FALSE,"non-positive-definite Hessian",11631458624.872356
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 22187000",TRUE,NA,22186637.61075548
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct)","poisson",TRUE,"large nbinom2 dispersion: 93507000",TRUE,NA,93506893.07889603
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 29783000",TRUE,NA,29783450.2888177
"Glenelg","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","nbinom2",FALSE,NA,TRUE,NA,27.56814387185327
"Glenelg","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 26150000",TRUE,NA,26150099.818741377
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 163840000",TRUE,NA,163838358.89227805
