"Period","Status","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","family_selection_reason","1","metric_id"
"Bloom","Fished",19.37012044858008,4.420127928330709,Inf,12.384942602472725,30.294978203418488,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",20.99696280817246,4.684176319464755,Inf,13.560115562457177,32.51244026182094,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",22.872654532610532,5.152016017403643,Inf,14.709071595237825,35.56705275250177,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",160.00000009453055,50.25244634096341,Inf,86.45228646314621,296.11709623391874,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",161.62499987039186,50.76080895035085,Inf,87.33244998235537,299.11723063285166,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",108.87500008642985,34.258745658687324,Inf,58.76084207485933,201.72899545446953,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",92.91666667213065,23.895895696895128,Inf,56.128752342752456,153.81612070653165,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",65.16971850806372,6.680924673261881,Inf,53.30700134635248,79.67231513972357,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",113.28365908094024,17.34313580334699,Inf,83.91754368785371,152.92615644831105,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",42.53029280311553,20.307807174905367,Inf,16.682371729595737,108.42737682854481,"Glenelg","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
