"reporting_name","metric","prop_zero","percent_zero","reason"
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Shark and ray richness",0.918918918918919,91.9,"More than 90% zeros"
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Shark and ray richness",0.9815950920245399,98.2,"More than 90% zeros"
"Boston Bay","Abundance > 200 mm",0.9090909090909091,90.9,"More than 90% zeros"
