"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","selection_reason","selected_model_valid","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","nb_valid","nb_converged","nb_pdHess","nb_finite_standard_errors","nb_theta","nb_at_poisson_boundary","nb_AIC","nb_logLik","nb_warnings","nb_error","poisson_valid","poisson_converged","poisson_pdHess","poisson_finite_standard_errors","poisson_dispersion_ratio","poisson_dispersion_ok","poisson_AIC","poisson_logLik","poisson_minus_nb_AIC","poisson_warnings","poisson_error","model_error"
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",33,2,2,2,4,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,151.4788755071895,-69.73943775359476,TRUE,TRUE,TRUE,TRUE,2.2255294065679014,FALSE,151.4788755071895,-69.73943775359476,NA,NA,TRUE,TRUE,TRUE,TRUE,2.004670326421707,FALSE,162.79180137889287,-76.39590068944644,11.312925871703357,NA,NA,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",33,2,2,2,4,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,151.4788755071895,-69.73943775359476,TRUE,TRUE,TRUE,TRUE,2.2255294065679014,FALSE,151.4788755071895,-69.73943775359476,NA,NA,TRUE,TRUE,TRUE,TRUE,2.004670326421707,FALSE,162.79180137889287,-76.39590068944644,11.312925871703357,NA,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ 1 + (1 | start_date_fct)",23,2,1,1,1,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,175.73452466877248,-84.86726233438624,TRUE,TRUE,TRUE,TRUE,26.53193371293601,FALSE,175.73452466877248,-84.86726233438624,NA,NA,TRUE,TRUE,TRUE,TRUE,2.4794199603632836,FALSE,185.3277253052877,-90.66386265264384,9.593200636515206,NA,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct",23,2,1,1,1,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,173.9590881397969,-83.97954406989845,TRUE,TRUE,TRUE,TRUE,30.44184668207318,FALSE,173.9590881397969,-83.97954406989845,NA,NA,TRUE,TRUE,TRUE,TRUE,2.4594830433411814,FALSE,181.83929258496067,-88.91964629248034,7.88020444516377,NA,NA,NA
"Glenelg","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",94,6,2,1,4,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,294.3905860045831,-142.19529300229155,TRUE,TRUE,TRUE,TRUE,0.723170213604038,FALSE,294.3905860045831,-142.19529300229155,NA,NA,TRUE,TRUE,TRUE,TRUE,3.497128777730184,FALSE,443.7037991726914,-217.8518995863457,149.3132131681083,NA,NA,NA
"Glenelg","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",76,5,2,1,4,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,283.2957354806194,-134.6478677403097,TRUE,TRUE,TRUE,TRUE,0.7985432168279388,FALSE,283.2957354806194,-134.6478677403097,NA,NA,TRUE,TRUE,TRUE,TRUE,4.446171458051152,FALSE,425.275413216777,-206.6377066083885,141.9796777361576,NA,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | uwa_site_code)",24,1,1,2,5,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,94.05353409271369,-43.026767046356845,TRUE,TRUE,TRUE,TRUE,2.2352631370866014,FALSE,94.05353409271369,-43.026767046356845,NA,NA,TRUE,TRUE,TRUE,TRUE,2.0112217118417854,FALSE,96.53023245915631,-45.265116229578155,2.476698366442619,NA,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ Status + (1 | uwa_site_code)",24,1,1,2,5,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,94.05353409271369,-43.026767046356845,TRUE,TRUE,TRUE,TRUE,2.2352631370866014,FALSE,94.05353409271369,-43.026767046356845,NA,NA,TRUE,TRUE,TRUE,TRUE,2.0112217118417854,FALSE,96.53023245915631,-45.265116229578155,2.476698366442619,NA,NA,NA
"O'Sullivan","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",69,6,2,1,5,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,174.9117295804715,-82.45586479023575,TRUE,TRUE,TRUE,TRUE,1.6123642927764883,FALSE,174.9117295804715,-82.45586479023575,NA,NA,TRUE,TRUE,TRUE,TRUE,1.1720247023654842,TRUE,188.97970328659136,-90.48985164329568,14.067973706119858,NA,NA,NA
"O'Sullivan","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",69,6,2,1,5,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,176.57117642887764,-80.28558821443882,TRUE,TRUE,TRUE,TRUE,2.124709930931065,FALSE,176.57117642887764,-80.28558821443882,NA,NA,TRUE,TRUE,TRUE,TRUE,1.1501294688584767,TRUE,185.3225016267032,-85.6612508133516,8.751325197825565,NA,NA,NA
