"reporting_name","metric","error"
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Reef associated species richness","Negative binomial Hessian was not positive definite | Poisson dispersion ratio was 1.559, above the allowed value of 1.5"
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","Negative binomial Hessian was not positive definite | Poisson Hessian was not positive definite"
