site_name,n_years_sampled,n_location_years,proportion_years_sampled,total_events,total_transects,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025,2026
Broken Bottom,9,11,0.8181818181818182,9,36,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects
Hallett Cove,4,11,0.36363636363636365,8,16,-,2 events / 4 transects,-,-,2 events / 4 transects,-,-,2 events / 4 transects,-,2 events / 4 transects,-
Marino Rocks,4,11,0.36363636363636365,8,16,-,2 events / 4 transects,-,-,2 events / 4 transects,-,-,2 events / 4 transects,-,2 events / 4 transects,-
