"reporting_name","metric","result_type","model_family","family_code","model_link","Period","Status","start_date_date","response","SE","asymp.LCL","asymp.UCL"
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness","Period","Poisson (log link)","poisson","log","Bloom",NA,NA,5.028856389981745e-11,4.23786376737945e-6,2.220446049250313e-16,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shark and ray richness","Period","Poisson (log link)","poisson","log","Bloom",NA,NA,7.46350590261399e-10,7.504713413920781e-6,2.220446049250313e-16,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness","Period by status","Poisson (log link)","poisson","log","Bloom","Fished",NA,6.506346112983221e-10,8.491978400311456e-6,2.220446049250313e-16,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness","Period by status","Poisson (log link)","poisson","log","Bloom","No-take",NA,3.886881538717391e-12,6.531349506371961e-7,2.220446049250313e-16,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shark and ray richness","Period by status","Poisson (log link)","poisson","log","Bloom","Fished",NA,7.46350590261399e-10,7.504713413920781e-6,2.220446049250313e-16,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Temporal","Poisson (log link)","poisson","log","Pre-bloom",NA,"2017-01-12",1.1143656834033517e-5,0.10825315061987226,2.220446049250313e-16,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness","Temporal","Poisson (log link)","poisson","log","Pre-bloom",NA,"2016-03-11",1.8924076366863513e-5,0.11560399463570042,2.220446049250313e-16,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness","Temporal by status","Poisson (log link)","poisson","log","Pre-bloom","No-take","2017-01-12",3.31149567020819e-10,6.433791792852032e-6,2.220446049250313e-16,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness","Temporal by status","Poisson (log link)","poisson","log","Pre-bloom","Fished","2016-03-11",7.492838149853635e-10,9.15449719421798e-6,2.220446049250313e-16,NA
