"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","Status","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"2021-10-11",30.01034049272654,4.654023981342773,Inf,22.144506668130653,40.67015580823544,"Not modelled by Status","2021-10-11","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.764, greater than the threshold of 1.5",NA,"total_abundance"
"2022-05-10",12.470607882313187,2.022918043980451,Inf,9.074236114912571,17.13819863016758,"Not modelled by Status","2022-05-10","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.764, greater than the threshold of 1.5",NA,"total_abundance"
"2024-03-25",238.6139996396264,36.4504590483795,Inf,176.87528048349313,321.9027592119253,"Not modelled by Status","2024-03-25","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.764, greater than the threshold of 1.5",NA,"total_abundance"
"2024-11-14",94.81998810326705,14.376031516908245,Inf,70.44430374385782,127.63033582665842,"Not modelled by Status","2024-11-14","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.764, greater than the threshold of 1.5",NA,"total_abundance"
"2025-05-22",24.996977899055267,3.906221239741933,Inf,18.402302477672727,33.95493063131521,"Not modelled by Status","2025-05-22","Bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.764, greater than the threshold of 1.5",NA,"total_abundance"
"2025-11-11",54.27545784153744,8.566213652785782,Inf,39.834524724507354,73.95156197498574,"Not modelled by Status","2025-11-11","Bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.764, greater than the threshold of 1.5",NA,"total_abundance"
"2017-01-12",16.48756595195025,3.0674089900563564,Inf,11.449744576335837,23.741999588509916,"Fished","2017-01-12","Pre-bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
"2026-03-10",15.00633471253803,2.8130470134833008,Inf,10.392276293701618,21.668985229078576,"Fished","2026-03-10","Bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
"2017-01-12",19.16428750010713,3.5223599851865086,Inf,13.367292009282854,27.47526687766778,"No-take","2017-01-12","Pre-bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
"2026-03-10",14.863416849636216,2.7822806214800804,Inf,10.298699285419831,21.451365296083004,"No-take","2026-03-10","Bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
