location,n,n_sites,R2,F_value,p_value,dispersion_p,permutations_used,permutation_type
Carrickalinga,110,14,0.06760671575266793,7.830950120133309,0.001,0.029,999,Monte Carlo whole-site
Encounter Bay,46,7,0.04855591599622916,2.245492236226481,0.8095238095238095,0.383,20,exact whole-site
Rapid Head,117,10,0.03352888675179034,3.989588435288944,0.34285714285714286,0.401,209,exact whole-site
Southern Metro,90,14,0.0708136114752585,6.706510003570526,0.17,0.596,999,Monte Carlo whole-site
Sponge Gardens,34,5,0.1134321966646469,4.094250072710662,0.1,0.008333333333333333,9,exact whole-site
