site_name,status,CAP1,MDS1,n_events
Aldinga Pinacles,No-take,0.5876544583080033,-0.40708444172230646,5
Aldinga Reef,No-take,0.6438076382487699,-0.42717208688689895,5
Aldinga SZ1,No-take,1.1975764164318918,-0.5297187575750585,2
Aldinga SZ3,No-take,0.6500022429306082,-0.015451763183739808,2
Gull Rock,Fished,0.8360774853839374,-0.1371434322886211,2
Horseshoe inner,Fished,-0.6887500991795065,0.7795572740467642,13
Horseshoe outer,Fished,0.16323566238771484,-0.7957062688513352,10
Moana inside,Fished,0.24372451820296553,-0.7390144529620599,8
Moana outside,Fished,-0.13157858154439755,-0.3614053481275168,12
Noarlunga North Outside,No-take,-0.45184356385934704,0.7070526778588829,11
Noarlunga South Outside,No-take,-0.025150074652491847,0.815058003237075,4
Pt Noarlunga inside,No-take,-0.4774648678805254,0.6932823589230315,8
Southport,Fished,0.4182341347465767,-0.3827662918285545,5
Willunga,Fished,0.741782165487615,-0.3541768017881783,3
