site_name,status,CAP1,MDS1,n_events
Carrickalinga (toilet),Fished,-0.49898239588765264,0.32380012360254523,14
Carrickalinga Head,No-take,1.0441990574807902,0.11070509076346234,13
Carrickalinga North Site,Fished,-0.2500880439733469,-0.18398278726001635,8
Carrickalinga North Site 2,Fished,-0.1359352679291826,0.11375423167944275,9
Carrickalinga Nth,Fished,-0.41086783598467885,0.0037794690080677797,8
Dodd's Beach,No-take,0.6060945984978512,0.146239163623926,11
Haycock Point,Fished,-0.8476543117734883,0.9927794784358691,7
Lady Bay,Fished,-0.8557273763427161,-0.20332774226757705,3
Myponga,Fished,-0.30058618180845326,-0.2866424251121312,4
Myponga South,No-take,0.6506522296252801,-0.17508006428282505,11
Normanville Beach,Fished,-0.9876164537940745,-0.6414776458202391,5
Ripple Rock,No-take,0.7299525648153331,-0.1019923884251933,11
South Shores,Fished,-0.9469063010532158,-0.47026343993366926,3
Yankalilla Mouth,Fished,-1.4831849551043321,-1.5633627141442161,3
