site_name,status,CAP1,MDS1,n_events
Carrickalinga (toilet),Fished,-0.2156370370034251,0.30625659698550045,14
Carrickalinga Head,No-take,-0.22601220315488577,-0.756841711278791,13
Carrickalinga North Site,Fished,0.13683757848214534,0.05458226036532248,8
Carrickalinga North Site 2,Fished,-0.020616488034716895,-0.07978497251440161,9
Carrickalinga Nth,Fished,0.19704781943334895,0.1992521466371304,8
Dodd's Beach,No-take,-0.22221416394526727,-0.29279811787870175,11
Haycock Point,Fished,-0.23578076595577255,0.12128639332652512,7
Lady Bay,Fished,0.5071588267861183,0.5651150340375771,3
Myponga,Fished,0.4012954330924201,0.06934281674793602,4
Myponga South,No-take,-0.07399961123561016,-0.2516392358745473,11
Normanville Beach,Fished,0.41056251489524126,0.8588583360620368,5
Ripple Rock,No-take,-0.1300059369065684,-0.3696264060417273,11
South Shores,Fished,0.7061556096632382,0.66707079294756,3
Yankalilla Mouth,Fished,0.8374956488361067,1.7254051872129983,3
