"location","n_sites","R2","F_value","p_value","dispersion_p"
"Carrickalinga",14,0.0432294049104745,0.542191473680433,0.96,0.001
"Encounter Bay",7,0.210294816181078,1.3314767364456,0.275,0.258
"Rapid Head",10,0.115082089582816,1.04038657803693,0.401,0.144
"Southern Metro",14,0.105830113839888,1.42026854821999,0.099,0.89
"Sponge Gardens",5,0.342143803599216,1.56026714715676,0.3,0.00833333333333333
