"location","n","n_sites","R2","F_value","p_value","dispersion_p"
"Carrickalinga",110,14,0.0823515019479717,14.6767318737723,0.001,0.233
"Encounter Bay",44,7,0.0655687879433398,3.89188322070819,0.001,0.987
"Rapid Head",117,10,0.0559781982796289,10.1238120459892,0.001,0.007
"Southern Metro",90,14,0.0706559535847121,9.38022894092552,0.001,0.228
"Sponge Gardens",34,5,0.141811197694504,6.06863443593765,0.001,0.012
