location,n,n_sites,R2,F_value,p_value,dispersion_p,permutations_used,permutation_type
Carrickalinga,110,14,0.05359513593465403,6.116066073539301,0.058,0.054,999,Monte Carlo whole-site
Encounter Bay,44,7,0.0522479453527947,2.3153879688862653,0.6666666666666666,0.67,20,exact whole-site
Rapid Head,117,10,0.03231839672804554,3.840742255674287,0.4714285714285714,0.047,209,exact whole-site
Southern Metro,90,14,0.12397955294179136,12.454276262061601,0.002,0.773,999,Monte Carlo whole-site
Sponge Gardens,34,5,0.07774834139474375,2.697687666286644,0.2,0.6083333333333333,9,exact whole-site
