"location","n","n_sites","R2","F_value","p_value","dispersion_p"
"Eastern Spencer Gulf",6,3,0.109031395671763,1.08800774927894,0.5,0.801388888888889
"Southern Yorke",10,3,0.113308213619916,0.985114521286549,0.44,0.582
"Sponge Gardens",34,5,0.0235553431692333,0.911538506148662,0.542,0.265
"Upper GSV",23,5,0.160920240005738,5.60037581685681,0.002,0.545
