"Period","Status","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom","Fished",21.734789391483933,4.844326446646941,Inf,14.04224793825728,33.64141353786623,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",19.37012044858008,4.420127928330709,Inf,12.384942602472725,30.294978203418488,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",20.99696280817246,4.684176319464755,Inf,13.560115562457177,32.51244026182094,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",22.872654532610532,5.152016017403643,Inf,14.709071595237825,35.56705275250177,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",160.00000009453055,50.25244634096341,Inf,86.45228646314621,296.11709623391874,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 170.07, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",161.62499987039186,50.76080895035085,Inf,87.33244998235537,299.11723063285166,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 170.07, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",108.87500008642985,34.258745658687324,Inf,58.76084207485933,201.72899545446953,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 170.07, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",92.91666667213065,23.895895696895128,Inf,56.128752342752456,153.81612070653165,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 170.07, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",65.16971850806372,6.680924673261881,Inf,53.30700134635248,79.67231513972357,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.586, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",113.28365908094024,17.34313580334699,Inf,83.91754368785371,152.92615644831105,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.586, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",42.53029280311553,20.307807174905367,Inf,16.682371729595737,108.42737682854481,"Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 52.43, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",19.746536171782466,12.954323009663772,Inf,5.458546978234147,71.43397177643331,"Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 52.43, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",24.694447401720883,6.055721103002428,Inf,15.270826530900353,39.933380897386506,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",68.21714205265471,28.891680754187135,Inf,29.7432342614969,156.4583874409449,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",27.19475336993788,8.255969006139303,Inf,14.999319121482626,49.30587881102736,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",263.3888406618438,120.68816188968718,Inf,107.29163205232945,646.589860347678,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",43.90952843525387,14.813698122296291,Inf,22.666792114181472,85.06041250539754,"O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 34.735, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",56.220792637586136,26.594226334982284,Inf,22.24597842474823,142.08309764798443,"O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 34.735, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",98.01841010327439,13.760268643966825,Inf,74.4409871151064,129.0634244857293,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",122.19402571704634,29.433666642206585,Inf,76.21062838104606,195.92254043993276,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",53.24144363027182,6.9876575774241605,Inf,41.165569416213685,68.85976217588626,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",92.0551557676655,22.259744574598486,Inf,57.308641495800394,147.8686543988335,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",34.166666678378725,4.6264126591046555,Inf,26.20256418227189,44.55140740390772,"Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 7.965, greater than the threshold of 1.5","overall","total_abundance"
"Pre-bloom","Fished",15.12436295289773,4.025876072211936,Inf,8.976357643668111,25.483204191662544,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",31.199569661055495,8.856857992971802,Inf,17.885932147573325,54.42339482245673,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",24.81074665741244,6.29547839962886,Inf,15.088844062325798,40.79657441985771,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",39.35260816929894,9.913741947207546,Inf,24.018070596107243,64.47760920385372,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",47.95716949992095,9.775895470223668,Inf,32.1617141745492,71.5101842508177,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.416, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",28.888689476645833,13.981445505012074,Inf,11.188357525027657,74.5915008356872,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.416, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",27.65098291001868,4.911231945043714,Inf,19.52200102219668,39.16488145968309,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",25.61888292764237,6.984402662686064,Inf,15.014108526907636,43.714028127877505,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",34.02323319163843,6.022256863156092,Inf,24.049679400287918,48.13288266947745,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",27.11773190569058,7.378571647128922,Inf,15.909134217497744,46.22321828802643,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",44.45633626784105,3.843742976021816,Inf,37.52648278903873,52.66589585466412,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",48.68993610483852,6.90159825869802,Inf,36.87948820585432,64.28261326893704,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",42.2564578608854,3.6962953836653654,Inf,35.59885361234332,50.15914979716238,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",54.914969110688645,7.913682873530739,Inf,41.402431359830445,72.83760236732721,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",50.23006508843711,10.825103561847419,Inf,32.92463124344139,76.63136513613112,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",57.502826677172486,15.14846874215358,Inf,34.312296269070814,96.36705890900966,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",42.01518777539496,9.041626815113517,Inf,27.55678700332045,64.05957282280373,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",64.09285221377483,16.76548337369214,Inf,38.38409466669972,107.02072669856666,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",27.99999953348098,4.238446774575257,Inf,20.81176946038593,37.67099070394934,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",39.562500101923874,5.026636842325127,Inf,30.841380764662937,50.749719224895166,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",38.66666670433329,9.268944272120082,Inf,24.170840009139894,61.85598487510733,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",33.62500027355413,8.58132189172303,Inf,20.390601980065632,55.44910564689841,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",36.77898482768958,6.723133713683365,Inf,25.704052126994462,52.6256995695561,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 21.807, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",75.71317818666552,33.76120442099604,Inf,31.59459978516412,181.43877086924098,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 21.807, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",8.448249994276962,0.8022742288103929,Inf,7.013483761192194,10.176530009341365,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.898, greater than the threshold of 1.5",NA,"richness"
"Bloom","Fished",6.32968449480577,1.1940953974297936,Inf,4.3732352067496745,9.161388287999737,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.898, greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","No-take",12.098360597142788,0.8243829126600779,Inf,10.585846880393243,13.82698340456818,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.898, greater than the threshold of 1.5",NA,"richness"
"Bloom","No-take",9.333042945081484,1.6526092743614123,Inf,6.596299035914723,13.205236776027412,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.898, greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","Fished",5.95761658888316,0.8368361929483444,Inf,4.523854054179959,7.845787020326338,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.83, not greater than the threshold of 1.5",NA,"richness"
"Bloom","Fished",4.394230286924202,1.0739123467961607,Inf,2.7218013607834735,7.094294276112701,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.83, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","No-take",5.850209529476426,0.8253646472380077,Inf,4.436918190312999,7.713676491376195,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.83, not greater than the threshold of 1.5",NA,"richness"
"Bloom","No-take",6.954190613058564,1.5978012155990537,Inf,4.432755148639928,10.909866541487192,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.83, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","Fished",6.46718785879118,1.0193055407521414,Inf,4.748495312884814,8.807952002691723,"Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.574, not greater than the threshold of 1.5",NA,"richness"
"Bloom","Fished",6.24334598028838,1.2007600454549445,Inf,4.282613706898672,9.10177095048123,"Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.574, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","Fished",8.75000000000406,0.8539124984889545,Inf,7.2266878231541405,10.594410866173936,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.661, not greater than the threshold of 1.5",NA,"richness"
"Bloom","Fished",7.416666666659086,0.7861650333525887,Inf,6.025340360853403,9.129267584900555,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.661, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","No-take",9.583333333313153,0.8936503734355097,Inf,7.982549993556784,11.50513029690024,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.661, not greater than the threshold of 1.5",NA,"richness"
"Bloom","No-take",7.666666666666306,0.7993051920389821,Inf,6.249750682590979,9.404819610084761,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.661, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","Fished",10.342337754312899,1.216898710515253,Inf,8.212299105079135,13.024848322698208,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.049, not greater than the threshold of 1.5",NA,"richness"
"Bloom","Fished",11.814355244179747,3.6178625160750686,Inf,6.4826115471372985,21.53129010133503,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.049, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","No-take",11.547569125489733,1.3675467987733099,Inf,9.155564297182964,14.564514909145739,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.049, not greater than the threshold of 1.5",NA,"richness"
"Bloom","No-take",13.145550201327302,4.010173093613246,Inf,7.229558436333939,23.902634112083437,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.049, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","Fished",11.085371970298878,1.3738779086519386,Inf,8.694721188998404,14.13334240957345,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.248, not greater than the threshold of 1.5",NA,"richness"
"Bloom","Fished",9.273848138479293,1.2325544063173468,Inf,7.147098849946801,12.033450369336371,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.248, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","No-take",9.421105595701407,1.2152552052636965,Inf,7.316493037022424,12.131116669725921,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.248, not greater than the threshold of 1.5",NA,"richness"
"Bloom","No-take",8.561968639370983,1.1627988412762655,Inf,6.561032090327672,11.173136477970049,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.248, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom","Fished",4.624999994355493,0.760345253437969,Inf,3.351005003101049,6.3833461686846915,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.684, not greater than the threshold of 1.5",NA,"richness"
"Bloom","Fished",4.249999976464975,0.7288689249567669,Inf,3.0367502708961776,5.947970095882088,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.684, not greater than the threshold of 1.5",NA,"richness"
