"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Bloom",19.746536171782466,12.954323009663772,Inf,5.458546978234147,71.43397177643331,"Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 52.43, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",25.914463272402585,6.558074147826585,Inf,15.780904731543224,42.555190473609194,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",134.04340326369305,55.43643517560623,Inf,59.5954848538798,301.49320879874176,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",43.90952843525387,14.813698122296291,Inf,22.666792114181472,85.06041250539754,"O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 34.735, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",56.220792637586136,26.594226334982284,Inf,22.24597842474823,142.08309764798443,"O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 34.735, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",72.24016650203922,7.8200562305464585,Inf,58.42994605977798,89.31450408842254,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",106.05937050190721,20.54427474696049,Inf,72.55489099436336,155.0355863967145,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",34.166666678378725,4.6264126591046555,Inf,26.20256418227189,44.55140740390772,"Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 7.965, greater than the threshold of 1.5","overall","total_abundance"
"Pre-bloom",19.37128642034648,3.598243850786835,Inf,13.460046864813966,27.878560999667535,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",35.03975513502147,6.770495490084212,Inf,23.993252860085498,51.17207104355457,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",47.95716949992095,9.775895470223668,Inf,32.1617141745492,71.5101842508177,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.416, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",28.888689476645833,13.981445505012074,Inf,11.188357525027657,74.5915008356872,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.416, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",30.6720693714261,4.103114527021804,Inf,23.597975424598562,39.86680308790003,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",26.35765541460543,5.90143009773812,Inf,16.995123749238093,40.87796059656371,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",43.34244224950154,3.2897919229413715,Inf,37.35125573761844,50.29462231063281,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",51.70886130247514,6.528721740580662,Inf,40.37317560244284,66.22729813299176,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",45.93936891883689,8.187625178281374,Inf,32.395010584573775,65.14662531599738,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",60.708485173773866,13.481531719981035,Inf,39.28466841277368,93.81573832747306,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",32.90390021992221,4.664255653609204,Inf,24.922192989537198,43.44186926636513,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",36.47312814593334,5.1989732347320885,Inf,27.582940419050615,48.22868978214116,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",36.77898482768958,6.723133713683365,Inf,25.704052126994462,52.6256995695561,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 21.807, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",75.71317818666552,33.76120442099604,Inf,31.59459978516412,181.43877086924098,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 21.807, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",10.109894897849939,0.6533915170958802,Inf,8.907060665454992,11.475163208664542,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.898, greater than the threshold of 1.5",NA,"richness"
"Bloom",7.686040412256408,1.1799662211401996,Inf,5.688864845724573,10.384359414556355,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.898, greater than the threshold of 1.5",NA,"richness"
