"location","n_sites","R2","F_value","p_value","dispersion_p"
"Carrickalinga",14,0.104547437439898,1.40104490369871,0.144,0.049
"Encounter Bay",7,0.305667695965248,2.2011628595488,0.047,0.628
"Rapid Head",10,0.112164058455223,1.01067373560088,0.361,0.052
"Southern Metro",14,0.175751174051656,2.55871045517516,0.012,0.677
"Sponge Gardens",5,0.336043773908576,1.5183701607264,0.3,0.608333333333333
