site_name,status,period_CAP1,period_n_events,status_CAP1,status_n_events
Carrickalinga (toilet),Fished,-0.21563703700342632,14,-0.48183127692789934,14
Carrickalinga Head,No-take,-0.22601220315488593,13,1.0523014213507986,13
Carrickalinga North Site,Fished,0.1368375784821438,8,-0.22778015026581824,8
Carrickalinga North Site 2,Fished,-0.02061648803471769,9,-0.14891192602221917,9
Carrickalinga Nth,Fished,0.19704781943334965,8,-0.47716008134145954,8
Dodd's Beach,No-take,-0.22221416394526625,11,0.5916540728698774,11
Haycock Point,Fished,-0.23578076595576947,7,-0.7802595746447505,7
Lady Bay,Fished,0.5071588267861147,3,-0.8690606594786832,3
Myponga,Fished,0.40129543309241866,4,-0.350181065363027,4
Myponga South,No-take,-0.07399961123560947,11,0.6494928604216339,11
Normanville Beach,Fished,0.41056251489524304,5,-0.9920855089225082,5
Ripple Rock,No-take,-0.1300059369065681,11,0.7408631526069153,11
South Shores,Fished,0.7061556096632379,3,-0.9785702707438948,3
Yankalilla Mouth,Fished,0.8374956488361055,3,-1.4636002463828837,3
