location,term,n,n_sites,R2,F_value,p_value,dispersion_p
Carrickalinga,period,110,14,0.07439246275050793,11.291712925691034,0.001,0.02
Carrickalinga,period:status,110,14,0.010430716676078486,1.5832337573028163,0.084,
Eastern Spencer Gulf,period,6,3,0.26666367477103775,2.059288296501226,0.25,0.4013888888888889
Encounter Bay,period,46,7,0.20591268461337917,18.726807846476202,0.001,0.001
Encounter Bay,period:status,46,7,0.017270303865199184,1.5706543894616694,0.043,
Metro,period,25,3,0.1323952080651786,4.0634669632228,0.003,0.005
Rapid Head,period,117,10,0.09968123904584016,15.678542711634183,0.001,0.132
Rapid Head,period:status,117,10,0.005611535765496563,0.8826204812396166,0.628,
Southern Fleurieu,period,31,6,0.29215311133827965,15.757762498989225,0.001,0.888
Southern Metro,period,90,14,0.08740969959337541,13.744522585684642,0.001,0.001
Southern Metro,period:status,90,14,0.010936581149558464,1.719695723924802,0.036,
Southern Yorke,period,10,3,0.20078756616450816,2.9092284610586367,0.027,0.74
Sponge Gardens,period,34,5,0.22701705468306677,11.853754945839308,0.001,0.482
Sponge Gardens,period:status,34,5,0.03436971953297171,1.7946239037848906,0.066,
Upper GSV,period,23,5,0.14969093133418365,4.9763963700955305,0.001,0.986
