site_name,status,CAP1,MDS1,n_events
Carrickalinga (toilet),Fished,-0.21563703700342632,0.30625659698550095,14
Carrickalinga Head,No-take,-0.22601220315488593,-0.7568417112787906,13
Carrickalinga North Site,Fished,0.1368375784821438,0.054582260365322904,8
Carrickalinga North Site 2,Fished,-0.02061648803471769,-0.07978497251440132,9
Carrickalinga Nth,Fished,0.19704781943334965,0.19925214663713017,8
Dodd's Beach,No-take,-0.22221416394526625,-0.29279811787870197,11
Haycock Point,Fished,-0.23578076595576947,0.12128639332652259,7
Lady Bay,Fished,0.5071588267861147,0.5651150340375773,3
Myponga,Fished,0.40129543309241866,0.06934281674793649,4
Myponga South,No-take,-0.07399961123560947,-0.2516392358745474,11
Normanville Beach,Fished,0.41056251489524304,0.8588583360620364,5
Ripple Rock,No-take,-0.1300059369065681,-0.36962640604172714,11
South Shores,Fished,0.7061556096632379,0.6670707929475597,3
Yankalilla Mouth,Fished,0.8374956488361055,1.7254051872129987,3
