question,transect,photo,image_id,points,annotator,note
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (1).JPG,11766733,22,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (10).JPG,11766742,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (11).JPG,11766743,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (12).JPG,11766744,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (13).JPG,11766745,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (14).JPG,11766746,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (15).JPG,11766747,24,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (16).JPG,11766748,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (17).JPG,11766749,21,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (18).JPG,11766750,21,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (19).JPG,11766751,21,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (2).JPG,11766734,21,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (20).JPG,11766752,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (21).JPG,11766753,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (3).JPG,11766735,23,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (4).JPG,11766736,22,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (5).JPG,11766737,25,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (6).JPG,11766738,24,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (7).JPG,11766739,23,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (8).JPG,11766740,20,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_5.4m29012026PtWillunga (9).JPG,11766741,21,Mishaya Miles,
B1,923406753_GSV134_2026-01-29,GSV129_MBD5.4m29012026PtWillunga_Seascape.JPG,11766732,20,Chris Pine,also under 923406586_GSV129_2026-01-29
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (1).JPG,11766755,20,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (10).JPG,11766764,20,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (11).JPG,11766765,24,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (12).JPG,11766766,22,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (13).JPG,11766767,24,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (14).JPG,11766768,23,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (15).JPG,11766769,20,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (16).JPG,11766770,26,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (17).JPG,11766771,23,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (18).JPG,11766772,20,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (19).JPG,11766773,24,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (2).JPG,11766756,25,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (20).JPG,11766774,20,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (21).JPG,11766775,23,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (3).JPG,11766757,20,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (4).JPG,11766758,20,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (5).JPG,11766759,23,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (6).JPG,11766760,22,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (7).JPG,11766761,24,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (8).JPG,11766762,21,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga (9).JPG,11766763,21,Mishaya Miles,
B1,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga_Seascape.JPG,11766754,20,Chris Pine,also under 923406545_GSV129_2026-01-29
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (1).jpeg,11562129,32,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (10).jpeg,11562138,29,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (11).jpeg,11562139,20,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (12).jpeg,11562140,27,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (13).jpeg,11562141,24,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (14).jpeg,11562142,31,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (15).jpeg,11562143,30,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (16).jpeg,11562144,37,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (17).jpeg,11562145,30,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (18).jpeg,11562146,33,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (19).jpeg,11562147,25,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (2).jpeg,11562130,23,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (20).jpeg,11562148,24,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (3).jpeg,11562131,28,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (4).jpeg,11562132,34,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (5).jpeg,11562133,22,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (6).jpeg,11562134,25,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (7).jpeg,11562135,27,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (8).jpeg,11562136,36,Chris Pine,
B2,923401829_GSV4_2023-02-18,GSV34_FJ_5.1m180223_NedsWindmill (9).jpeg,11562137,25,Chris Pine,
B2,923400294_GSV122_2021-02-03,GSV124_DJB4.4m030221PortNoarlungaNth  (3).JPG,7972528,20,Chris Pine,
B2,923401842_GSV41_2023-01-15,GSV43_JH5.1m160123RapidHeadSZ3 (18).JPG,11562249,20,Chris Pine,
B3,923406545_GSV129_2026-01-29,GSV129_MBD5.3m29012026Willunga_Seascape.JPG,11769323,20,Chris Pine,"same photo, two entries"
B3,923406754_GSV134_2026-01-29,GSV129_MBD5.3m29012026Willunga_Seascape.JPG,11766754,20,Chris Pine,"same photo, two entries"
B3,923406586_GSV129_2026-01-29,GSV129_MBD5.4m29012026PtWillunga_Seascape.JPG,11769345,20,Chris Pine,"same photo, two entries"
