"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","Status","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","fixed_effect_structure","structure_reason","n_all_zero_date_status_cells","1","metric_id"
"2014-09-03",20.17382359341518,5.684550074727611,Inf,11.612825795250997,35.04600564529853,"Not modelled by Status","2014-09-03","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2015-12-10",66.15863730953504,17.75214277561134,Inf,39.10085650508244,111.94039419790391,"Not modelled by Status","2015-12-10","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2016-02-12",121.69789389656546,34.22439795842578,Inf,70.13011541921786,211.1842721251418,"Not modelled by Status","2016-02-12","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2016-11-19",51.77359269588905,15.71173563195531,Inf,28.562361639758375,93.84745331802658,"Not modelled by Status","2016-11-19","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2019-12-07",79.78954667255461,22.996469754115,Inf,45.35422382319375,140.36998589216432,"Not modelled by Status","2019-12-07","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2020-11-26",72.94563294044995,22.094600132762384,Inf,40.28818709971445,132.0750758010795,"Not modelled by Status","2020-11-26","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2021-11-22",49.4450609446123,16.647269974354383,Inf,25.558687113658728,95.65491533052574,"Not modelled by Status","2021-11-22","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2025-02-06",49.795759873303126,12.969467759045791,Inf,29.887813954126717,82.96417078764964,"Not modelled by Status","2025-02-06","Pre-bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2026-02-21",53.80232193080617,12.70662739268689,Inf,33.86652572166724,85.47348106907035,"Not modelled by Status","2026-02-21","Bloom","Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 42.27, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2016-05-24",49.386358964558,15.731991348356706,Inf,26.45192795016309,92.20547010302668,"Fished","2016-05-24","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2017-04-05",42.71869674317625,13.59130025458021,Inf,22.89819829050178,79.69566112947956,"Fished","2017-04-05","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2018-03-28",31.393264381860305,9.98354770189154,Inf,16.832208841666663,58.55066663085643,"Fished","2018-03-28","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2026-03-24",27.583292731449237,8.847393255597945,Inf,14.710302559598832,51.721440454829725,"Fished","2026-03-24","Bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2016-05-24",67.36861172068724,22.456472143728536,Inf,35.0526100064546,129.477657850214,"No-take","2016-05-24","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2017-04-05",55.20322083497257,18.030428941546774,Inf,29.103531779656908,104.7087897656754,"No-take","2017-04-05","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2018-03-28",69.88680514537126,22.09707023099658,Inf,37.606170820203666,129.87670445838376,"No-take","2018-03-28","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2026-03-24",31.060266921370847,9.912220610149676,Inf,16.617374071128197,58.05611506952769,"No-take","2026-03-24","Bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2021-10-11",30.232351186618743,4.014266621010267,Inf,23.304992082140387,39.21885298435614,"Not modelled by Status","2021-10-11","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2022-05-10",12.100997358426797,1.6640011619344846,Inf,9.242148306378354,15.84416655244459,"Not modelled by Status","2022-05-10","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2024-03-25",239.62344903210698,38.440018784676624,Inf,174.97697134981757,328.15402440158095,"Not modelled by Status","2024-03-25","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2024-11-14",95.18387400913079,15.154960230130785,Inf,69.66858667219746,130.04383042840786,"Not modelled by Status","2024-11-14","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-05-22",24.88675833430699,4.064230660864057,Inf,18.070055665556435,34.27497689289086,"Not modelled by Status","2025-05-22","Bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-11-11",54.72133329094129,9.041383102304323,Inf,39.58367435614128,75.64796259682507,"Not modelled by Status","2025-11-11","Bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2017-01-12",16.48756595195022,3.067408990056222,Inf,11.44974457633599,23.741999588509515,"Fished","2017-01-12","Pre-bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2026-03-10",15.006334712538015,2.813047013483404,Inf,10.392276293701466,21.668985229078853,"Fished","2026-03-10","Bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2017-01-12",19.16428750010713,3.522359985186831,Inf,13.367292009282416,27.475266877668684,"No-take","2017-01-12","Pre-bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2026-03-10",14.863416849636211,2.7822806214800586,Inf,10.298699285419854,21.451365296082937,"No-take","2026-03-10","Bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2015-12-10",26.704920746106655,5.189198721255464,Inf,18.24689798903576,39.08350846726708,"Not modelled by Status","2015-12-10","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2016-12-06",15.820665332869199,2.825305999048022,Inf,11.148447594224127,22.450969021401978,"Not modelled by Status","2016-12-06","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2017-12-05",34.269442729562286,5.99443069309028,Inf,24.322845279513004,48.28360709854679,"Not modelled by Status","2017-12-05","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2018-12-11",47.454845617511474,8.424989946038178,Inf,33.508949583701174,67.20480350948418,"Not modelled by Status","2018-12-11","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2020-12-04",60.39174457418456,10.431505411050686,Inf,43.04760341705302,84.72394566032335,"Not modelled by Status","2020-12-04","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2025-02-06",106.86483336627097,41.604924438961596,Inf,49.82445749882213,229.20656207186673,"Not modelled by Status","2025-02-06","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2025-02-20",129.52381684279476,22.899047670240662,Inf,91.5929857175609,183.1627061624364,"Not modelled by Status","2025-02-20","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2025-12-17",91.13087256030508,15.768682848427002,Inf,64.92011029459641,127.92393444676283,"Not modelled by Status","2025-12-17","Bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2015-11-15",21.734789391484195,4.844326446646891,Inf,14.042247938257585,33.6414135378663,"Fished","2015-11-15","Pre-bloom","Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
