"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Bloom",19.746536171782466,12.954323009663772,Inf,5.458546978234147,71.43397177643331,"Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 52.43, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",25.914463272402585,6.558074147826585,Inf,15.780904731543224,42.555190473609194,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",134.04340326369305,55.43643517560623,Inf,59.5954848538798,301.49320879874176,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 41.336, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",44.46152625565278,15.079553614269267,Inf,22.871317826784363,86.43259351969039,"O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 31.681, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",55.87001406754705,27.301456488489503,Inf,21.440277384583172,145.58853021894296,"O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 31.681, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",72.24016650203922,7.8200562305464585,Inf,58.42994605977798,89.31450408842254,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",106.05937050190721,20.54427474696049,Inf,72.55489099436336,155.0355863967145,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.177, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",34.166666678378725,4.6264126591046555,Inf,26.20256418227189,44.55140740390772,"Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 7.965, greater than the threshold of 1.5","overall","total_abundance"
"Pre-bloom",19.288231253713608,3.4870122399785015,Inf,13.53344627416766,27.490105429159474,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 23.032, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",35.6404456876433,6.723127804337027,Inf,24.62490240934324,51.5836102697363,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 23.032, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",51.090177518813334,11.199003323888753,Inf,33.24707374954049,78.5093526897216,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 35.504, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",28.711076366969422,12.499712199764101,Inf,12.231188270245042,67.39540655712888,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 35.504, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",30.6720693714261,4.103114527021804,Inf,23.597975424598562,39.86680308790003,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",26.35765541460543,5.90143009773812,Inf,16.995123749238093,40.87796059656371,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.123, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",43.34244224950154,3.2897919229413715,Inf,37.35125573761844,50.29462231063281,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",51.70886130247514,6.528721740580662,Inf,40.37317560244284,66.22729813299176,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 9.853, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",45.93936891883689,8.187625178281374,Inf,32.395010584573775,65.14662531599738,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",60.708485173773866,13.481531719981035,Inf,39.28466841277368,93.81573832747306,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 40.917, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",32.90390021992221,4.664255653609204,Inf,24.922192989537198,43.44186926636513,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",36.47312814593334,5.1989732347320885,Inf,27.582940419050615,48.22868978214116,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 25.185, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",35.62905633551981,6.786696388398483,Inf,24.528200539941142,51.75388440307864,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.333, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom",77.4210947251315,35.89293291465561,Inf,31.205893925733292,192.07992960249524,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.333, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom",10.13070000791252,0.6632226424038651,Inf,8.910748188372292,11.517672868844265,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.867, greater than the threshold of 1.5",NA,"richness"
"Bloom",7.685723453029884,1.212881691899891,Inf,5.64101033965474,10.471589562813852,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.867, greater than the threshold of 1.5",NA,"richness"
