"Period","Status","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom","Fished",61.535696324024876,12.039693279819996,Inf,41.93593172166376,90.29588151791225,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.996, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",41.45204378665236,17.879800265427765,Inf,17.798820656689372,96.53852731218814,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.996, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",76.22214813069039,12.40287306667473,Inf,55.40814513536944,104.85490628612017,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.996, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",86.1367603091669,37.04846987302573,Inf,37.07459204718149,200.12469637202454,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.996, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",41.10861589508123,10.481423595903657,Inf,24.94036640159854,67.75835902318623,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.113, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",27.65401295117246,8.842177630417579,Inf,14.77720878353564,51.75161585019165,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.113, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",63.89396394805874,16.227600326046336,Inf,38.83954892660057,105.11035122243233,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.113, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",30.902673007863974,9.81032042443967,Inf,16.58726433155319,57.57279681221208,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.113, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",53.8050957844205,26.587939916238252,Inf,20.426773074627743,141.7251918251616,"Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.066, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",37.10402538438835,25.645270103657015,Inf,9.574017177620778,143.79634736225313,"Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.066, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",16.48756595195022,3.067408990056222,Inf,11.44974457633599,23.741999588509515,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",15.006334712538015,2.813047013483404,Inf,10.392276293701466,21.668985229078853,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",19.16428750010713,3.522359985186831,Inf,13.367292009282416,27.475266877668684,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",14.863416849636211,2.7822806214800586,Inf,10.298699285419854,21.451365296082937,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",39.56783969678425,11.0017629493232,Inf,22.94390634651429,68.23659034453249,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 43.653, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","Fished",92.5208591467443,63.54645704340182,Inf,24.077180675927323,355.52789558165364,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 43.653, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","No-take",57.39837976339315,16.129314962807484,Inf,33.09074226453855,99.56180411804502,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 43.653, greater than the threshold of 1.5",NA,"total_abundance"
"Bloom","No-take",91.5433243974005,62.8229670441693,Inf,23.849373153346875,351.37947600738835,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 43.653, greater than the threshold of 1.5",NA,"total_abundance"
"Pre-bloom","Fished",21.734789391484195,4.844326446646891,Inf,14.042247938257585,33.6414135378663,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5",NA,"total_abundance"
