spatial_level,group_id,group_name,status,plots_saved,error
site,COO18,Pullen Island,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,COO19,Port Elliot Deep,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV1,Carrickalinga (toilet),Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV105,Marino Rocks,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV106,Normanville Beach,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV107,Olivers Reef,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV109,Outer Harbor breakwater south inside,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV11,Outside Granite island,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV110,Lady Bay,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV111,Myponga,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV112,Noarlunga South Outside,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV113,Yankalilla Mouth,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV114,South Shores,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV115,Port Gawler,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV116,Aldinga Pinacles,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV117,Cape Jervis South,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV118,Backstairs Deep,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV119,Deep Creek,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV121,Encounter Deep,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV124,Horseshoe inner,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV125,Broken Bottom,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV127,Semaphore,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV128,Southport,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV129,Willunga,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV131,Horseshoe outer,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV134,Port Parham,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV135,Pt Noarlunga inside,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV136,Noarlunga North Outside,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV138,Moana outside,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV14,Newland Head,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV140,Hallett Cove,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV15,Flat Irons,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV17,The Bluff,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV18,Morgans,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV182,Aldinga SZ3,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV183,Aldinga SZ1,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV185,Gull Rock,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV189,Troubridge Point,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV190,Troubridge Lighthouse,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV191,Edithburgh,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV194,Port Julia,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV2,Haycock Point,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV21,Cable Hut,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV24,Ripple Rock,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV26,2nd Valley Boat Shed,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV3,Carrickalinga Head,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV30,Porpoise Head,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV34,Nev's Windmills,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV39,Fishery Beach,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV4,Rapid Head,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV40,Whalebone Reef,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV41,Rapid Head East,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV42,Rapid Head SZ Site2,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
site,GSV43,Rapid Head SZ,Saved,"total_abundance/period, total_abundance/period_split, total_abundance/temporal, m2_inverts/period, m2_inverts/period_split, m2_inverts/temporal",NA
