"location","n","n_sites","R2","F_value","p_value","dispersion_p"
"Carrickalinga",110,14,0.0743924627505079,11.291712925691,0.001,0.02
"Encounter Bay",46,7,0.205912684613379,18.7268078464762,0.001,0.001
"Rapid Head",117,10,0.0996812390458402,15.6785427116342,0.001,0.125
"Southern Metro",90,14,0.0874096995933754,13.7445225856846,0.001,0.001
"Sponge Gardens",34,5,0.227017054683067,11.8537549458393,0.001,0.487
