location,year,n_sites_sampled,n_sites_possible,proportion_sites_sampled,total_events,total_transects
Carrickalinga,2005,6,14,0.42857142857142855,6,24
Carrickalinga,2006,6,14,0.42857142857142855,6,24
Carrickalinga,2007,6,14,0.42857142857142855,6,24
Carrickalinga,2008,1,14,0.07142857142857142,1,3
Carrickalinga,2011,1,14,0.07142857142857142,1,2
Carrickalinga,2012,6,14,0.42857142857142855,6,24
Carrickalinga,2013,5,14,0.35714285714285715,5,20
Carrickalinga,2014,2,14,0.14285714285714285,2,7
Carrickalinga,2016,7,14,0.5,7,28
Carrickalinga,2017,13,14,0.9285714285714286,13,52
Carrickalinga,2018,13,14,0.9285714285714286,13,52
Carrickalinga,2019,8,14,0.5714285714285714,8,32
Carrickalinga,2020,9,14,0.6428571428571429,9,36
Carrickalinga,2021,8,14,0.5714285714285714,8,32
Carrickalinga,2023,2,14,0.14285714285714285,3,10
Carrickalinga,2024,2,14,0.14285714285714285,2,8
Carrickalinga,2026,14,14,1,14,64
Eastern Spencer Gulf,2004,1,3,0.3333333333333333,1,8
Eastern Spencer Gulf,2008,1,3,0.3333333333333333,1,3
Eastern Spencer Gulf,2026,3,3,1,3,12
Encounter Bay,2005,2,7,0.2857142857142857,2,8
Encounter Bay,2006,2,7,0.2857142857142857,2,8
Encounter Bay,2007,3,7,0.42857142857142855,5,20
Encounter Bay,2012,1,7,0.14285714285714285,1,4
Encounter Bay,2013,4,7,0.5714285714285714,8,29
Encounter Bay,2017,5,7,0.7142857142857143,5,20
Encounter Bay,2018,6,7,0.8571428571428571,6,24
Encounter Bay,2020,4,7,0.5714285714285714,4,16
Encounter Bay,2025,4,7,0.5714285714285714,4,8
Encounter Bay,2026,7,7,1,7,28
Metro,2015,1,3,0.3333333333333333,1,4
Metro,2016,3,3,1,5,12
Metro,2017,1,3,0.3333333333333333,1,4
Metro,2018,1,3,0.3333333333333333,1,4
Metro,2019,2,3,0.6666666666666666,4,8
Metro,2020,1,3,0.3333333333333333,1,4
Metro,2021,1,3,0.3333333333333333,1,4
Metro,2022,3,3,1,5,12
Metro,2023,1,3,0.3333333333333333,1,4
Metro,2025,2,3,0.6666666666666666,4,8
Metro,2026,1,3,0.3333333333333333,1,4
Rapid Head,2005,4,10,0.4,4,16
Rapid Head,2006,3,10,0.3,3,12
Rapid Head,2007,4,10,0.4,4,16
Rapid Head,2008,3,10,0.3,3,12
Rapid Head,2011,3,10,0.3,3,12
Rapid Head,2012,5,10,0.5,5,19
Rapid Head,2013,4,10,0.4,4,16
Rapid Head,2014,3,10,0.3,3,13
Rapid Head,2016,7,10,0.7,7,32
Rapid Head,2017,9,10,0.9,9,36
Rapid Head,2018,9,10,0.9,9,40
Rapid Head,2019,9,10,0.9,9,36
Rapid Head,2020,10,10,1,18,70
Rapid Head,2021,9,10,0.9,9,36
Rapid Head,2022,9,10,0.9,9,36
Rapid Head,2023,2,10,0.2,2,4
Rapid Head,2024,6,10,0.6,6,24
Rapid Head,2026,10,10,1,10,44
Southern Fleurieu,2005,2,6,0.3333333333333333,2,8
Southern Fleurieu,2007,4,6,0.6666666666666666,5,17
Southern Fleurieu,2012,1,6,0.16666666666666666,1,4
Southern Fleurieu,2017,6,6,1,6,24
Southern Fleurieu,2018,6,6,1,6,24
Southern Fleurieu,2020,3,6,0.5,3,12
Southern Fleurieu,2025,2,6,0.3333333333333333,2,4
Southern Fleurieu,2026,6,6,1,6,24
Southern Metro,2008,1,14,0.07142857142857142,1,2
Southern Metro,2011,1,14,0.07142857142857142,1,2
Southern Metro,2012,1,14,0.07142857142857142,1,2
Southern Metro,2015,4,14,0.2857142857142857,4,16
Southern Metro,2016,11,14,0.7857142857142857,17,52
Southern Metro,2017,6,14,0.42857142857142855,6,24
Southern Metro,2018,6,14,0.42857142857142855,6,24
Southern Metro,2019,6,14,0.42857142857142855,12,24
Southern Metro,2020,4,14,0.2857142857142857,4,16
Southern Metro,2021,3,14,0.21428571428571427,3,12
Southern Metro,2022,8,14,0.5714285714285714,14,32
Southern Metro,2023,1,14,0.07142857142857142,1,4
Southern Metro,2025,6,14,0.42857142857142855,12,24
Southern Metro,2026,8,14,0.5714285714285714,8,32
Southern Yorke,2006,3,3,1,3,12
Southern Yorke,2025,1,3,0.3333333333333333,1,2
Southern Yorke,2026,3,3,1,3,12
Sponge Gardens,2005,1,5,0.2,1,8
Sponge Gardens,2006,1,5,0.2,1,8
Sponge Gardens,2007,1,5,0.2,1,8
Sponge Gardens,2012,1,5,0.2,1,4
Sponge Gardens,2016,5,5,1,5,20
Sponge Gardens,2017,5,5,1,5,20
Sponge Gardens,2018,5,5,1,5,20
Sponge Gardens,2019,5,5,1,5,20
Sponge Gardens,2021,5,5,1,5,20
Sponge Gardens,2026,5,5,1,5,20
Upper GSV,2006,1,5,0.2,1,4
Upper GSV,2015,3,5,0.6,3,12
Upper GSV,2016,2,5,0.4,2,8
Upper GSV,2017,3,5,0.6,3,12
Upper GSV,2018,3,5,0.6,3,12
Upper GSV,2020,3,5,0.6,3,12
Upper GSV,2021,3,5,0.6,3,12
Upper GSV,2025,5,5,1,5,20
