site_name,status,CAP1,MDS1,n_events
Carrickalinga (toilet),Fished,-0.192090726326311,0.07729664620669299,14
Carrickalinga Head,No-take,0.03418632198398672,0.13782038786979156,13
Carrickalinga North Site,Fished,-0.3096531822312576,0.0568735303797546,8
Carrickalinga North Site 2,Fished,0.10592501994381692,0.34323643038652624,9
Carrickalinga Nth,Fished,-0.247867912954493,0.05274116836025591,8
Dodd's Beach,No-take,0.12239435100498697,0.059529603056483,11
Haycock Point,Fished,0.25074476773384013,-0.3892207304357665,7
Lady Bay,Fished,0.04555327433169495,0.07924332833086598,3
Myponga,Fished,0.11246824938290499,0.10198626838805921,4
Myponga South,No-take,-0.2724886066508641,-0.4801967469236401,11
Normanville Beach,Fished,0.6715284563040371,0.11189238338566754,5
Ripple Rock,No-take,-0.3754383115757383,-0.5107793863495965,11
South Shores,Fished,0.5435447761021573,0.7282956100526996,3
Yankalilla Mouth,Fished,1.4008423332385664,0.9135231957345249,3
