location,n_deployments,n_sites,n_site_events,n_statuses,n_periods,sites_in_both_periods
The Pages - The Pages Sanctuary Zone,181,6,46,2,2,6
Carrickalinga - Carrickalinga Cliffs Sanctuary Zone,165,6,42,2,2,6
Sponge Gardens - Sponge Gardens Sanctuary Zone,163,6,42,2,2,6
Rapid Head - Rapid Head Sanctuary Zone,164,6,41,2,2,6
O'Sullivan,110,5,28,1,2,5
Glenelg,98,4,24,1,2,4
Bay of Shoals - Bay of Shoals Sanctuary Zone,96,6,23,2,2,6
Windara Reef - Windara Shell fish Reef Sanctuary Zone,84,3,21,2,2,3
Aldinga - Aldinga Reef Sanctuary Zone,125,3,18,2,2,3
Boston Bay,189,3,18,1,2,3
Middle/Long Spit - Middle Spit Sanctuary Zone,80,5,15,2,2,5
Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone,57,4,13,2,2,4
Victor Harbor - Encounter Bay Sanctuary Zone,72,4,13,2,2,4
Cape Elizabeth - Cape Elizabeth Sanctuary Zone,48,6,12,2,2,6
Chinamans Hat - Chinamans Hat Sanctuary Zone,46,6,12,2,2,6
Port Gibbon - Port Gibbon Sanctuary Zone,48,6,12,2,2,6
Port Noarlunga - Port Noarlunga Reef Sanctuary Zone,49,1,10,1,2,1
Cuttlefish Coast - Fairway Bank Sanctuary Zone,36,4,8,2,2,4
Dangerous Reef - Dangerous Reef Sanctuary Zone,100,1,7,1,2,1
Orcades Bank - Orcades Bank Sanctuary Zone,12,1,1,1,1,0
