genus_species,type,fisheries_status,diet,common_name,body_shape,functional_group,colour,habitat association,water column position,iconic species,2026 edit,Notes
Pempheris multiradiata,Teleost,Non-target,Planktivore,Bigscale bullseye,short and / or deep,demersal,NA,reef,demersal,No,Y,NA
Platycephalus aurimaculatus,Teleost,Target,Carnivore,Toothy flathead,Elongated,demersal,NA,reef/seagrass/unconsolidated,demersal,No,Y,NA
Platycephalus bassensis,Teleost,Target,Carnivore,Southern sand flathead,fusiform / normal,demersal,NA,reef/seagrass/unconsolidated,demersal,No,Y,NA
Platycephalus grandispinis,Teleost,Target,Carnivore,Longspine flathead,elongated,demersal,NA,reef/seagrass/unconsolidated,demersal,No,Y,NA
Platycephalus speculator,Teleost,Target,Carnivore,Southern bluespotted flathead,elongated,demersal,NA,reef/seagrass/unconsolidated,demersal,No,Y,NA
Pseudophycis bachus,Teleost,Target,Carnivore,Red cod,fusiform / normal,demersal,NA,reef,demersal,No,Y,NA
Pseudophycis barbata,Teleost,Target,Carnivore,Bearded cod,elongated,demersal,NA,reef,demersal,No,Y,NA
Pseudorhombus arsius,Teleost,Target,Carnivore,Largetooth flounder,short and / or deep,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Scorpis aequipinnis,Teleost,Target,Planktivore,Sea sweep,short and / or deep,demersal,NA,reef,NA,No,Y,bentho pelagic
Sillaginodes punctatus,Teleost,Target,Carnivore,King George whiting,elongated,demersal,NA,reef/seagrass,demersal,Yes,Y,NA
Sillago schomburgkii,Teleost,Target,Carnivore,Yellowfin whiting,elongated,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Sillago spp,Teleost,Target,Carnivore,Sand whiting,elongated,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Siphonognathus attenuatus,Teleost,Non-target,Planktivore,Slender weed whiting,elongated,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Siphonognathus beddomei,Teleost,Non-target,Planktivore,Pencil weed whiting,elongated,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Siphonognathus caninis,Teleost,Non-target,Planktivore,Sharpnose weed whiting,elongated,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Siphonognathus radiatus,Teleost,Non-target,Planktivore,Longray weed whiting,elongated,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Siphonognathus tanyourus,Teleost,Non-target,Planktivore,Longtail weed whiting,elongated,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Spiniraja whitleyi,Chondrichthyes,By-catch,Carnivore,Melbourne skate,other,demersal,NA,reef/uncosolidated,demersal,No,Y,NA
Squalus megalops,Chondrichthyes,Target,Carnivore,Shortnose spurdog,elongated,demersal,NA,reef/uncosolidated,demersl,No,Y,NA
Tetractenos glaber,Teleost,Non-target,Carnivore,Smooth toadfish,short and / or deep,demersal,NA,reef/seagrass,demersal,No,Y,NA
Thamnaconus degeni,Teleost,Target,Omnivore,Bluefin leatherjacket,short and / or deep,demersal,#941CCB,Sand/seagrass,demersl,No,Y,NA
Tilodon sexfasciatus,Teleost,Non-target,Carnivore,Moonlighter,short and / or deep,demersal,NA,reef,demersal,No,Y,NA
Torquigener pleurogramma,Teleost,Non-target,Carnivore,Weeping toadfish,fusiform / normal,demersal,NA,reef/seagrass,demersal,No,Y,NA
Trygonoptera mucosa,Chondrichthyes,By-catch,Carnivore,Western shovelnose stingaree,other,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Trygonorrhina dumerilii,Chondrichthyes,By-catch,Carnivore,Southern fiddler ray,other,demersal,NA,seagrass/unconsolidated,demersal,No,Y,NA
Upeneichthys vlamingii,Teleost,Target,Carnivore,Goatfish,fusiform / normal,demersal,#4BDCFF,reef/seagrass/unconsilidated,demersal,No,Y,NA
Urolophus gigas,Chondrichthyes,Non-target,Carnivore,Spotted stingaree,other,demersal,NA,reef/seagrass/unconsolidated,demersal,No,Y,NA
Urolophus spp,Chondrichthyes,Non-target,Carnivore,Stingaree,other,demersal,NA,reef/seagrass/unconsolidated,demersal,No,Y,NA
Austrodromidia octodentata,Invertebrate,Non-target,NA,Sponge crab,NA,NA,NA,NA,Benthic,No,Y,Benthic for these ?
Coscinasterias muricata,Invertebrate,Non-target,NA,Eleven arm seastar,NA,NA,NA,reef/uncosolidated,Benthic,No,Y,NA
Diogenidae spp,Invertebrate,Non-target,NA,Hermit crab,NA,NA,NA,NA,Benthic,No,Y,NA
Guinusia chabrus,Invertebrate,Non-target,NA,Red bait crab,NA,NA,NA,NA,Benthic,No,Y,NA
Jasus edwardsii,Invertebrate,Target,NA,Southern rock lobster,NA,NA,NA,NA,Benthic,No,Y,NA
Leptomithrax gaimardii,Invertebrate,Non-target,NA,Spider crab,NA,NA,#F36600,reef/seagrass/unconsolidated,Benthic,No,Y,NA
Macroctopus maorum,Invertebrate,Target,NA,Maori octopus,NA,NA,NA,NA,Benthic,No,Y,NA
Melicertus latisulcatus,Invertebrate,Target,NA,King prawn,NA,NA,NA,reef/seagrass/unconsolidated,Benthic,No,Y,NA
Monacanthidae spp,Teleost,Non-target,Omnivore,Leatherjacket,NA,NA,#CA162E,NA,demersal,No,Y,NA
Naxia aurita,Invertebrate,Non-target,NA,Decorator crab,NA,NA,NA,reef/seagrass,Benthic,No,Y,NA
Nectocarcinus integrifrons,Invertebrate,Non-target,NA,Rough rock crab,NA,NA,#00F7C0,reef/seagrass/unconsolidated,Benthic,No,Y,NA
Neophoca cinerea,Other,Non-target,NA,Australian sealion,NA,NA,NA,reef/unconsolidated,NA,Yes,Y,bentho pelagic
Nil Nil,Empty,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA
Octopodidae spp,Invertebrate,Target,NA,Octopus,NA,NA,NA,reef/seagrass/unconsolidated,Benthic,No,Y,?
Ovalipes australiensis,Invertebrate,By-catch,NA,Sand crab,NA,NA,NA,unconsolidated,Benthic,No,Y,NA
Ozius truncatus,Invertebrate,Non-target,NA,Reef crab,NA,NA,NA,NA,Benthic,No,Y,NA
Pectinidae spp,Invertebrate,Target,NA,Scallop,NA,NA,NA,seagrass/unconsolidated,Benthic,No,Y,NA
Phalacrocorax fuscescens,Other,Non-target,NA,Cormorant,NA,NA,NA,NA,NA,NA,Y,NA
Phalacrocorax spp,Other,Non-target,NA,Cormorant,NA,NA,NA,NA,NA,NA,Y,NA
Portunus armatus,Invertebrate,Target,NA,Blue swimmer crab,NA,NA,#00A5AB,reef/seagrass/unconsolidated,Benthic,Yes,Y,NA
Pycnogonidae spp,Invertebrate,Non-target,NA,Sea spider,NA,NA,NA,NA,Benthic,No,Y,NA
Sagaminopteron ornatum,Invertebrate,Non-target,NA,Batwing seaslug,NA,NA,NA,NA,NA,No,Y,NA
Sepia apama,Invertebrate,Target,NA,Giant cuttlefish,NA,NA,NA,NA,Demersal,Yes,Y,?
Sepioteuthis australis,Invertebrate,Target,NA,Southern calamari,NA,NA,NA,reef/seagrass,Benthopelagic,Yes,Y,?
Tursiops spp,Other,Non-target,NA,Bottlenose dolphin,NA,NA,NA,reef/seagrass/unconsolidated,pelagic,Yes,Y,?
Arripis georgianus,Teleost,Target,Carnivore,Australian herring,fusiform / normal,pelagic-neritic,NA,reef/seagrass/unconsolidated,pelagic-neritic,Yes,Y,?
Atherinidae spp,Teleost,Non-target,Planktivore,Hardyhead,elongated,pelagic-neritic,NA,seagrass/unconsolidated,pelagic-neritic,No,Y,NA
Dinolestes lewini,Teleost,Target,Carnivore,Longfin pike,elongated,pelagic-neritic,#2242B4,reef/seagrass,pelagic-neritic,No,Y,NA
Engraulis australis,Teleost,Target,Planktivore,Anchovy,elongated,pelagic-neritic,#A3809F,reef/seagrass,pelagic-neritic,No,Y,NA
Hyperlophus vittatus,Teleost,Target,Planktivore,Sandy sprat,elongated,pelagic-neritic,NA,seagrass/unconsolidated,pelagic-neritic,No,Y,NA
Hyporhamphus melanochir,Teleost,Target,Omnivore,Southern garfish,elongated,pelagic-neritic,NA,reef/seagrass/unconsolidated,pelagic-neritic,Yes,Y,NA
Iso rhothophilus,Teleost,Non-target,Planktivore,Surf sardine,elongated,pelagic-neritic,NA,reef/unconsolidated,pelagic-neritic,No,Y,NA
Olisthops cyanomelas,Teleost,Non-target,Herbivore,Herring cale,fusiform / normal,pelagic-neritic,NA,reef,pelagic-neritic,No,Y,NA
