genus_species,type,fisheries_status,diet,common_name,body_shape,functional_group,colour,habitat association,water column position,iconic species,2026 edit,Notes
Equichlamys bifrons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haletta spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,? weed whiting
Hapalochlaena spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heptranchias perlo,NA,NA,NA,Sharpnose sevengill shark,NA,NA,NA,NA,NA,NA,Y,NA
Ibacus peronii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Labrus laticlavis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,? old name laticlavius
Lepidotrigla papilio,NA,NA,NA,Spiny gurnard,NA,NA,NA,NA,NA,NA,Y,NA
Lepidotrigla spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Lepidotrigla vanessa,NA,NA,NA,Butterfly gurnard,NA,NA,NA,NA,NA,NA,Y,NA
Lissocampus runa,NA,NA,NA,Javelin pipefish,NA,NA,NA,NA,NA,NA,Y,?
Maxillicosta scabriceps,NA,NA,NA,Little gurnard perch,NA,NA,NA,NA,NA,NA,Y,NA
Meuschenia scabra,NA,NA,NA,Velvet leatherjacket,NA,NA,NA,NA,NA,NA,Y,old name?
Nesogobius pulchellus,NA,NA,NA,Sailfin goby,NA,NA,NA,sand,NA,NA,Y,?
Nesogobius spp,NA,NA,NA,Gobies,NA,NA,NA,NA,NA,NA,Y,?
Nototodarus gouldi,NA,NA,NA,Gould's squid,NA,NA,NA,NA,NA,NA,Y,?
Octopus bunurong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octopus spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odax cyanomelas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,old name
Omobranchus anolius,NA,NA,NA,Oyster blenny,NA,NA,NA,NA,NA,NA,Y,NA
Ophionereis schayeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophthalmolepis lineolata,Teleost,Non-target,Carnivore,NA,elongated,benthopelagic,NA,NA,NA,NA,Y,NA
Ovalipidae spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paguristes frontalis,NA,NA,NA,Common hermit crab,NA,NA,NA,NA,NA,NA,NA,NA
Parablennius tasmanianus,NA,NA,NA,Tasmanian blenny,NA,NA,NA,NA,NA,NA,Y,NA
Parazanclistius hutchinsi,NA,NA,NA,Short boarfish,NA,NA,NA,NA,NA,NA,Y,NA
Parequula elongata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecten fumatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelates octolineatus,NA,NA,NA,Western striped grunter,NA,NA,NA,NA,NA,NA,Y,old name
Penaeidae spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalacrocorax varius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phylum Cnidaria spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinna dolabrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Platycephalus laevigatus,NA,NA,NA,Rock flathead,NA,NA,NA,NA,NA,NA,Y,NA
Platycephalus spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA
Pleuronectidae spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polychaeta spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
