"location","term","n","n_sites","R2","F_value","p_value","dispersion_p"
"Carrickalinga","period",110,14,0.0823515019479717,14.6767318737723,0.001,0.233
"Carrickalinga","period:status",110,14,0.00748825585585289,1.33456125023674,0.162,NA
"Eastern Spencer Gulf","period",5,3,0.31220940465157,1.72089640597667,0.5,0.908333333333333
"Encounter Bay","period",44,7,0.0655687879433398,3.89188322070819,0.001,0.987
"Encounter Bay","period:status",44,7,0.0101474259771468,0.60230786831019,0.825,NA
"Metro","period",25,3,0.0863821384064857,2.5150929691873,0.009,0.017
"Rapid Head","period",117,10,0.0559781982796289,10.1238120459892,0.001,0.007
"Rapid Head","period:status",117,10,0.00532412028575927,0.962881885087038,0.519,NA
"Southern Fleurieu","period",31,6,0.140807764097589,5.92811086977662,0.001,0.304
"Southern Metro","period",90,14,0.0706559535847121,9.38022894092552,0.001,0.237
"Southern Metro","period:status",90,14,0.0114988030796204,1.52657207158261,0.06,NA
"Southern Yorke","period",7,3,0.165998761531863,1.56406694785737,0.166666666666667,0.562
"Sponge Gardens","period",34,5,0.141811197694504,6.06863443593765,0.001,0.012
"Sponge Gardens","period:status",34,5,0.0208512273775658,0.892302431347181,0.505,NA
"Upper GSV","period",23,5,0.138500274490252,4.40377465518655,0.001,0.451
