id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1
Aldinga Pinacles_7,Aldinga Pinacles,No-take,Pre-bloom,7,2017-03-06,-0.7395756483211736,-1.0445507508801262
Aldinga Pinacles_8,Aldinga Pinacles,No-take,Pre-bloom,8,2018-01-20,-1.0513408853969581,-1.143436022093536
Aldinga Pinacles_12,Aldinga Pinacles,No-take,Pre-bloom,12,2021-02-03,-0.5722092360075861,-0.925571210500646
Aldinga Pinacles_13,Aldinga Pinacles,No-take,Pre-bloom,13,2022-02-13,-0.5969270326019934,-1.0410455759967925
Aldinga Pinacles_18,Aldinga Pinacles,No-take,Bloom,18,2026-01-29,0.890788515335817,-0.7335033114301835
Aldinga Reef_1,Aldinga Reef,No-take,Pre-bloom,1,2008-02-08,-0.8915207824551485,-1.0594757204031646
Aldinga Reef_2,Aldinga Reef,No-take,Pre-bloom,2,2011-02-02,-1.1537678812843228,-1.414667952225474
Aldinga Reef_3,Aldinga Reef,No-take,Pre-bloom,3,2012-02-02,-0.6973311305755123,-0.834478649777535
Aldinga Reef_13,Aldinga Reef,No-take,Pre-bloom,13,2022-02-13,-0.2795018552722255,-0.2563668961221478
Aldinga Reef_18,Aldinga Reef,No-take,Bloom,18,2026-01-29,0.8658246884160671,-0.8351477004606067
Aldinga SZ1_5,Aldinga SZ1,No-take,Pre-bloom,5,2016-02-17,-0.305673611767537,-0.8770239905432617
Aldinga SZ1_18,Aldinga SZ1,No-take,Bloom,18,2026-01-29,0.9455683360385378,-0.6827744949515662
Aldinga SZ3_5,Aldinga SZ3,No-take,Pre-bloom,5,2016-02-17,-0.3098391161323172,0.14281911431919372
Aldinga SZ3_18,Aldinga SZ3,No-take,Bloom,18,2026-01-29,1.3337170155829854,0.32581664213734485
Gull Rock_5,Gull Rock,Fished,Pre-bloom,5,2016-02-17,-0.06150028808470883,0.5160877850531458
Gull Rock_18,Gull Rock,Fished,Bloom,18,2026-01-29,1.8868030096006354,0.8501796238461786
Horseshoe inner_4,Horseshoe inner,Fished,Pre-bloom,4,2015-08-26,0.9004697066962531,1.0968272875982126
Horseshoe inner_5,Horseshoe inner,Fished,Pre-bloom,5,2016-02-17,0.02249377407990315,-0.009677805251059464
Horseshoe inner_6,Horseshoe inner,Fished,Pre-bloom,6,2016-11-16,0.6420402660987107,0.4826803179447388
Horseshoe inner_7,Horseshoe inner,Fished,Pre-bloom,7,2017-03-06,-0.4714149676417815,0.06857314861470776
Horseshoe inner_8,Horseshoe inner,Fished,Pre-bloom,8,2018-01-20,0.621711593935177,0.38158285440244116
Horseshoe inner_9,Horseshoe inner,Fished,Pre-bloom,9,2019-03-18,-0.046321972162090545,-0.4678625338068385
Horseshoe inner_10,Horseshoe inner,Fished,Pre-bloom,10,2019-09-10,0.5343104481534756,0.6374563337344972
Horseshoe inner_11,Horseshoe inner,Fished,Pre-bloom,11,2020-02-07,0.4071186049691723,0.01657198246440355
Horseshoe inner_12,Horseshoe inner,Fished,Pre-bloom,12,2021-02-03,0.42744687120759023,0.2926860179749525
Horseshoe inner_13,Horseshoe inner,Fished,Pre-bloom,13,2022-02-13,-0.6178945548140627,-0.23195232663442658
Horseshoe inner_14,Horseshoe inner,Fished,Pre-bloom,14,2022-08-31,-0.03891585461602013,0.13818834815977352
Horseshoe inner_16,Horseshoe inner,Fished,Pre-bloom,16,2025-03-06,-0.45183021663771233,0.1620568935468066
Horseshoe inner_17,Horseshoe inner,Fished,Bloom,17,2025-11-13,2.453567752871745,1.3553718112080297
Horseshoe outer_4,Horseshoe outer,Fished,Pre-bloom,4,2015-08-26,0.27151464339659104,1.0989073763697141
Horseshoe outer_5,Horseshoe outer,Fished,Pre-bloom,5,2016-02-17,-0.6672629509143357,0.2679140147235782
Horseshoe outer_6,Horseshoe outer,Fished,Pre-bloom,6,2016-11-16,-0.069903612955177,0.9546087149869081
Horseshoe outer_9,Horseshoe outer,Fished,Pre-bloom,9,2019-03-18,-0.5035484048945239,0.4364739530049354
Horseshoe outer_10,Horseshoe outer,Fished,Pre-bloom,10,2019-09-10,-0.28219604230179274,0.7445721560990335
Horseshoe outer_13,Horseshoe outer,Fished,Pre-bloom,13,2022-02-13,-1.0935988954992208,0.49420446801339185
Horseshoe outer_14,Horseshoe outer,Fished,Pre-bloom,14,2022-08-31,-0.2610707900172437,1.0469715739030514
Horseshoe outer_15,Horseshoe outer,Fished,Pre-bloom,15,2023-05-15,-0.4175984906990073,0.21553235315553732
Horseshoe outer_16,Horseshoe outer,Fished,Pre-bloom,16,2025-03-06,0.44342706894730094,1.3329564889997005
Horseshoe outer_17,Horseshoe outer,Fished,Bloom,17,2025-11-13,1.9448011699968948,1.5750517079027668
