site_name,status,CAP1,MDS1,n_events
Aldinga Pinacles,No-take,-0.4138528573983824,-0.7247225208076237,5
Aldinga Reef,No-take,-0.43125939223422816,-0.6393058813612341,5
Aldinga SZ1,No-take,0.3199473621355037,-0.6711092695619079,2
Aldinga SZ3,No-take,0.5119389497253332,0.17535219648189473,2
Gull Rock,Fished,0.9126513607579578,0.30811579511384785,2
Horseshoe inner,Fished,0.33713703478002754,0.17894163340147526,13
Horseshoe outer,Fished,-0.0635436304940522,0.612501576867014,10
Moana inside,Fished,0.3722702776182402,0.7934408399061471,8
Moana outside,Fished,-0.28295243932691994,-0.012159500744456334,12
Noarlunga North Outside,No-take,-0.6100892991374032,-0.7744453252079074,11
Noarlunga South Outside,No-take,0.24440047171808912,-0.585474302200229,4
Pt Noarlunga inside,No-take,-0.3253196818287481,-0.43484226336047466,8
Southport,Fished,0.7267372605058053,0.9219262083059234,5
Willunga,Fished,0.7028864541475929,0.7574859016712279,3
