site_name,status,CAP1,MDS1,n_events
Carrickalinga (toilet),Fished,-0.5214179620016386,-0.2939603098932764,14
Carrickalinga Head,No-take,-0.1325009106859289,-0.2662658097718164,13
Carrickalinga North Site,Fished,0.17099157565739936,-0.013241927958506854,8
Carrickalinga North Site 2,Fished,0.4041349323902059,0.13452387170555127,9
Carrickalinga Nth,Fished,0.015670499368534888,0.020868782027569047,8
Dodd's Beach,No-take,-0.05876546313539652,-0.14604386334091532,11
Haycock Point,Fished,-0.13938960817003132,-0.19816021488205776,7
Lady Bay,Fished,0.7455498635599997,0.4309168653793548,3
Myponga,Fished,0.23753669231593577,0.10289792345430775,4
Myponga South,No-take,-0.1492910642764973,-0.3486332884711725,11
Normanville Beach,Fished,0.8249055835076006,1.643038194770555,5
Ripple Rock,No-take,-0.4058792401344167,-0.4333012031385534,11
South Shores,Fished,0.7648026296021765,1.0319566114368361,3
Yankalilla Mouth,Fished,0.6717136163773495,1.6282168327166344,3
