dataset,dataset_label,location,ordination,site_name,status,axis1,axis2,n_events
M1,M1 fish,Rapid Head,cap_period,Rapid Head South,No-take,0.5206394706132204,0.2942739628192316,10
M1,M1 fish,Rapid Head,cap_status,2nd Valley Boat Shed,Fished,-1.0790350114208582,-0.561634283842058,19
M1,M1 fish,Rapid Head,cap_status,Cape Jervis South,Fished,0.022281553673998762,0.7854009891689588,4
M1,M1 fish,Rapid Head,cap_status,Lasseters Reef,Fished,-1.572273152095956,-0.7389443343788685,12
M1,M1 fish,Rapid Head,cap_status,Morgans,Fished,-0.010318820131798568,0.5251781161344381,12
M1,M1 fish,Rapid Head,cap_status,Nev's Windmills,Fished,0.47802289305404294,0.6354398444317502,12
M1,M1 fish,Rapid Head,cap_status,Rapid Head,No-take,0.4858640678471338,-0.2394316949418616,16
M1,M1 fish,Rapid Head,cap_status,Rapid Head East,Fished,0.15988213107768806,0.22448762927958524,11
M1,M1 fish,Rapid Head,cap_status,Rapid Head SZ,No-take,0.7059715264357651,-0.05353871753550598,11
M1,M1 fish,Rapid Head,cap_status,Rapid Head SZ Site2,No-take,0.7970843272386706,0.25408846408679847,10
M1,M1 fish,Rapid Head,cap_status,Rapid Head South,No-take,0.8398309361796017,0.18789483710923618,10
M1,M1 fish,Southern Fleurieu,cap_period,Backstairs Deep,Fished,-0.28037147858866057,-0.9071012298881703,4
M1,M1 fish,Southern Fleurieu,cap_period,Deep Creek,Fished,0.054248949307755805,0.777380103055517,4
M1,M1 fish,Southern Fleurieu,cap_period,Fishery Beach,Fished,-1.1974399833220004,-2.579952820404306,4
M1,M1 fish,Southern Fleurieu,cap_period,Flat Irons,Fished,0.24808207990198178,0.09828740411844104,9
M1,M1 fish,Southern Fleurieu,cap_period,Newland Head,Fished,0.5858332148713211,0.6444083866736665,6
M1,M1 fish,Southern Fleurieu,cap_period,Porpoise Head,Fished,-0.013371989483535546,1.5219147079599664,4
M1,M1 fish,Southern Metro,cap_period,Aldinga Pinacles,No-take,-0.4138528573983813,-0.7247225208076243,5
M1,M1 fish,Southern Metro,cap_period,Aldinga Reef,No-take,-0.43125939223422666,-0.6393058813612347,5
M1,M1 fish,Southern Metro,cap_period,Aldinga SZ1,No-take,0.31994736213549835,-0.6711092695619065,2
M1,M1 fish,Southern Metro,cap_period,Aldinga SZ3,No-take,0.5119389497253297,0.17535219648189593,2
M1,M1 fish,Southern Metro,cap_period,Gull Rock,Fished,0.912651360757972,0.30811579511384607,2
M1,M1 fish,Southern Metro,cap_period,Horseshoe inner,Fished,0.337137034780029,0.17894163340147512,13
M1,M1 fish,Southern Metro,cap_period,Horseshoe outer,Fished,-0.06354363049404964,0.6125015768670141,10
M1,M1 fish,Southern Metro,cap_period,Moana inside,Fished,0.37227027761823694,0.7934408399061478,8
M1,M1 fish,Southern Metro,cap_period,Moana outside,Fished,-0.28295243932692205,-0.012159500744455824,12
M1,M1 fish,Southern Metro,cap_period,Noarlunga North Outside,No-take,-0.6100892991374022,-0.7744453252079081,11
M1,M1 fish,Southern Metro,cap_period,Noarlunga South Outside,No-take,0.244400471718088,-0.5854743022002291,4
M1,M1 fish,Southern Metro,cap_period,Pt Noarlunga inside,No-take,-0.3253196818287479,-0.4348422633604751,8
M1,M1 fish,Southern Metro,cap_period,Southport,Fished,0.7267372605058049,0.9219262083059236,5
