dataset,dataset_label,location,id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1,period_cap_percent,status_cap_percent
M1,M1 fish,Carrickalinga,Carrickalinga North Site_12,Carrickalinga North Site,Fished,Pre-bloom,12,2018-02-06,-0.2737483608385648,0.18820080683295462,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site_13,Carrickalinga North Site,Fished,Pre-bloom,13,2019-02-19,-0.003095732586739723,0.12205148266397958,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site_14,Carrickalinga North Site,Fished,Pre-bloom,14,2020-02-09,0.020265030467749478,0.05686211656777857,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site_15,Carrickalinga North Site,Fished,Pre-bloom,15,2021-03-10,-0.1933712346599709,-0.04020067818908987,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site_19,Carrickalinga North Site,Fished,Bloom,19,2026-01-13,1.8596754588318773,-0.5534751410636045,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_8,Carrickalinga North Site 2,Fished,Pre-bloom,8,2013-02-28,0.32974736532073123,-0.14364142094708934,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_10,Carrickalinga North Site 2,Fished,Pre-bloom,10,2016-02-09,-0.06488670865711038,0.5309337155369849,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_11,Carrickalinga North Site 2,Fished,Pre-bloom,11,2017-02-14,-0.28149418832482476,0.3120959194564878,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_12,Carrickalinga North Site 2,Fished,Pre-bloom,12,2018-02-06,0.37194123286549535,-0.5002115071568182,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_13,Carrickalinga North Site 2,Fished,Pre-bloom,13,2019-02-19,1.1132451352041832,-0.938514050054414,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_14,Carrickalinga North Site 2,Fished,Pre-bloom,14,2020-02-09,0.162177051214514,-0.8829368772449879,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_15,Carrickalinga North Site 2,Fished,Pre-bloom,15,2021-03-10,-0.02171180603765642,-0.32840077592221645,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_18,Carrickalinga North Site 2,Fished,Pre-bloom,18,2024-02-18,0.05477112683757941,0.44375198970727947,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga North Site 2_19,Carrickalinga North Site 2,Fished,Bloom,19,2026-01-13,1.9734251830889418,-0.16896121275569845,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_8,Carrickalinga Nth,Fished,Pre-bloom,8,2013-02-28,-0.11125728109300596,-0.6887331398635431,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_10,Carrickalinga Nth,Fished,Pre-bloom,10,2016-02-09,0.05080230335238569,-0.4898381854076213,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_11,Carrickalinga Nth,Fished,Pre-bloom,11,2017-02-14,-0.5204567701318066,-0.14540935460963655,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_12,Carrickalinga Nth,Fished,Pre-bloom,12,2018-02-06,0.10515264479238082,-0.4720727125626268,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_13,Carrickalinga Nth,Fished,Pre-bloom,13,2019-02-19,-0.5188720542991067,0.09318318145420573,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_14,Carrickalinga Nth,Fished,Pre-bloom,14,2020-02-09,-0.5376080697078153,-0.47232935618785393,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_15,Carrickalinga Nth,Fished,Pre-bloom,15,2021-03-10,-0.1995373224980596,-0.8633558952917476,3.7,2.4
M1,M1 fish,Carrickalinga,Carrickalinga Nth_19,Carrickalinga Nth,Fished,Bloom,19,2026-01-13,1.8571405445333067,-0.5828228323309913,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_1,Dodd's Beach,No-take,Pre-bloom,1,2005-03-08,-0.7258546308943582,1.0338447734088092,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_2,Dodd's Beach,No-take,Pre-bloom,2,2006-02-23,0.10106633192995443,0.35057294065127514,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_3,Dodd's Beach,No-take,Pre-bloom,3,2007-02-22,-0.11671169121071158,0.36295364182762885,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_6,Dodd's Beach,No-take,Pre-bloom,6,2012-02-01,0.38344820432097987,-0.2940329780414639,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_10,Dodd's Beach,No-take,Pre-bloom,10,2016-02-09,-0.455244453256723,0.5716177273413233,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_11,Dodd's Beach,No-take,Pre-bloom,11,2017-02-14,-0.32686720050231655,0.46946235752239013,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_12,Dodd's Beach,No-take,Pre-bloom,12,2018-02-06,-0.36261008901800623,0.5965410366448783,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_13,Dodd's Beach,No-take,Pre-bloom,13,2019-02-19,-0.33821345121754803,0.5622942291087621,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_14,Dodd's Beach,No-take,Pre-bloom,14,2020-02-09,-0.45852920753855914,0.726569440528376,3.7,2.4
