"Period","Status","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom","Fished",59.22505997644817,11.628994160861525,Inf,40.30601647794895,87.02442056343776,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom","Fished",41.4877778051472,17.92375243521762,Inf,17.79016289373615,96.75210494083255,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom","No-take",76.97739902272686,12.494952563548463,Inf,56.00108051481495,105.81081482412698,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom","No-take",86.17343843668517,37.224787002801804,Inf,36.95519329470507,200.9422987665754,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom","Fished",54.350210593222094,26.08642653378171,Inf,21.21537517644848,139.23606662430424,"Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom","Fished",37.05107687601266,24.941277601412892,Inf,9.903907732929946,138.61016627888958,"Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom","Fished",21.621182993825204,4.742446342626553,Inf,14.066132329994714,33.23412172482042,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom","Fished",19.586598323888946,4.428022021969281,Inf,12.575475598166447,30.50658648308337,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom","No-take",21.144186290997617,4.6552399727953775,Inf,13.73361830696235,32.55344687144561,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom","No-take",22.61441901883287,5.013884083439091,Inf,14.644143918841134,34.92262507071977,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom","No-take",65.24089472677748,6.38308200771571,Inf,53.85666864894183,79.03151924407214,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
