"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","link","selection_reason","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","dispersion_parameter","tweedie_power","model_warnings","model_error"
"Port Gibbon - Port Gibbon Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,146.40358252263547,-68.20179126131774,1,NA,NA,NA
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct)",37,8,2,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,196.02564151837663,-95.01282075918832,1,NA,NA,NA
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct",37,8,2,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,179.67975531783603,-81.83987765891801,1,NA,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",164,7,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,825.1142785201998,-406.5571392600999,1,NA,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",164,7,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,812.4389724487946,-391.2194862243973,1,NA,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",163,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,963.3119168725874,-475.6559584362937,1,NA,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",163,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,960.3385924444351,-463.16929622221755,1,NA,NA,NA
"The Pages - The Pages Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",181,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,865.6971976198275,-426.84859880991377,1,NA,NA,NA
"The Pages - The Pages Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",181,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,860.2516801935128,-413.1258400967564,1,NA,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",72,5,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,333.5913800855426,-160.7956900427713,1,NA,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",72,5,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,332.9163707060541,-160.45818535302706,1,NA,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",84,7,2,1,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,148.8532258904653,-70.42661294523265,1,NA,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",84,7,2,1,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,151.90913581168672,-67.95456790584336,1,NA,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",125,9,2,2,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,304.5187734603499,-144.25938673017495,0.3439825274041728,1.2380437455706932,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",125,9,2,2,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,303.4260714656719,-139.71303573283595,0.32525795693968435,1.2271552366096754,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",96,4,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,153.4614207174293,-68.73071035871465,0.17358653321473277,1.0241624362545636,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",96,4,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,148.0271081527991,-63.01355407639955,0.17328792198538634,1.023845949973419,NA,NA
"Boston Bay","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",141,6,2,1,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,196.106936562802,-92.053468281401,0.13414289197480167,1.145434613851772,NA,NA
"Boston Bay","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",141,6,2,1,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,176.20759480407392,-79.10379740203696,0.1289989271107607,1.1385943210353948,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,35.92233568092281,-10.961167840461403,0.050897292052619385,1.0027889634779343,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,35.92233568092281,-10.961167840461403,0.050897292052619385,1.0027889634779343,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",165,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,339.9093481943676,-161.9546740971838,0.2320538125216356,1.0345301604662946,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",165,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,336.7736073221999,-157.38680366109995,0.22895153100623775,1.0341774127029457,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)",46,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,72.3317303362994,-29.1658651681497,0.10696559425083349,1.0060093382710427,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",46,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,72.3317303362994,-29.1658651681497,0.10696559425083349,1.0060093382710427,NA,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)",36,2,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,39.55672531093653,-12.778362655468266,0.17027786799900504,1.0278893708496557,NA,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",36,2,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,39.55672531093653,-12.778362655468266,0.17027786799900504,1.0278893708496557,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct)",76,7,2,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,144.00666946353167,-67.00333473176583,0.16510700084900923,1.0100450432177692,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct",76,7,2,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,146.80693179706878,-64.40346589853439,0.1650690228219357,1.0099845303484896,NA,NA
"Glenelg","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",93,6,2,1,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,189.9784503643207,-88.98922518216035,0.3246435826662828,1.119560457012901,NA,NA
"Glenelg","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",93,6,2,1,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,186.56321839259328,-84.28160919629664,0.30726178030267504,1.1102564246284423,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",80,5,2,2,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,TRUE,TRUE,FALSE,69.47513009556394,-26.73756504778197,0.07274649572916865,1.005879081333476,NA,"Model standard errors were not finite"
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",80,5,2,2,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,71.55612732329436,-27.77806366164718,0.07274922112444898,1.005879020132033,NA,NA
"O'Sullivan","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",98,9,2,1,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,181.08076229256613,-84.54038114628307,0.23797143680606223,1.20614808344825,NA,NA
"O'Sullivan","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",98,9,2,1,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,172.73333498831212,-74.36666749415606,0.216170407543808,1.191454644027921,NA,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",57,4,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,43.9492147270927,-13.974607363546351,0.17885596693171416,1.1486776594905634,NA,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",57,4,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,37.29886026863346,-7.649430134316729,0.15450759734634884,1.1056246453164815,NA,NA
"Orcades Bank - Orcades Bank Sanctuary Zone","Shannon diversity","Period","shannon ~ 1",12,1,1,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,21.11498847184268,-7.5574942359213395,0.10400440744670815,1.005539097729986,NA,NA
"Orcades Bank - Orcades Bank Sanctuary Zone","Shannon diversity","Temporal","shannon ~ 1",12,1,1,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,21.11498847184268,-7.5574942359213395,0.10400440744670815,1.005539097729986,NA,NA
"Port Gibbon - Port Gibbon Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,59.67222218541259,-22.836111092706297,0.0822010961980497,1.004712352398525,NA,NA
"Port Gibbon - Port Gibbon Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,59.67222218541259,-22.836111092706297,0.0822010961980497,1.004712352398525,NA,NA
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct)",37,8,2,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,88.1237739181899,-39.06188695909495,0.22688481145951644,1.2019261271183028,NA,NA
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct",37,8,2,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,78.5591121790012,-29.279556089500606,0.16942627141221686,1.1603644499163774,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",163,7,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,158.18241434472515,-71.09120717236257,0.06895760386371048,1.007945724325952,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",163,7,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,153.23227815178228,-59.616139075891134,0.06334777878248882,1.0046007226523137,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",163,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,209.3547809670194,-96.6773904835097,0.09348675043960616,1.0072349461241925,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",163,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,221.4090401974396,-91.7045200987198,0.08413801488634928,1.007031446391566,NA,NA
"The Pages - The Pages Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",181,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,310.5715307190886,-147.2857653595443,0.14931589117599203,1.1007308585926072,NA,NA
"The Pages - The Pages Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct * Status + (1 | uwa_site_code)",181,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,313.5549400415714,-137.7774700207857,0.1381136800292122,1.0879986264572588,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Shannon diversity","Period","shannon ~ Period * Status + (1 | start_date_fct) + (1 | uwa_site_code)",72,5,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,113.97363014990027,-48.98681507495014,0.14462239906124083,1.0109469250736196,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",72,5,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,109.74755977213475,-46.873779886067375,0.14460021392349265,1.010936852702548,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shannon diversity","Period","shannon ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",84,7,2,1,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,103.83883809564738,-45.91941904782369,0.11628727717529133,1.0159924276203047,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shannon diversity","Temporal","shannon ~ start_date_fct + (1 | uwa_site_code)",84,7,2,1,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,109.69644903978227,-44.84822451989113,0.11622823206276772,1.0158876737180587,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",125,9,2,2,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,220.1476521566848,-104.0738260783424,1,NA,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",113,8,2,2,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,204.93707135485474,-93.46853567742737,1,NA,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",96,4,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,156.9618425399043,-72.48092126995215,1,NA,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",72,3,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,134.74242454893022,-60.371212274465115,1,NA,NA,NA
"Boston Bay","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",141,6,2,1,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,182.12312751646039,-87.061563758230193,1,NA,NA,NA
"Boston Bay","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",117,5,2,1,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,162.1794963601921,-75.08974818009605,1,NA,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,68.01353354764645,-29.006766773823223,1,NA,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ Status + (1 | uwa_site_code)",24,1,1,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,52.84649567031059,-23.423247835155294,1,NA,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",165,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,244.5100993263115,-116.25504966315575,1,NA,NA,NA
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",165,8,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,243.9594286687451,-112.97971433437255,1,NA,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",46,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,109.18555122970606,-49.59277561485303,1,NA,NA,NA
"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",46,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,109.18555122970606,-49.59277561485303,1,NA,NA,NA
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",36,2,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",FALSE,TRUE,FALSE,TRUE,NA,NA,1,NA,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')","Model Hessian was not positive definite | Model AIC was not finite"
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ Status + (1 | uwa_site_code)",20,1,1,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,32.476649253712,-13.238324626855997,1,NA,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct)",77,7,2,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,173.6782642840412,-83.8391321420206,1,NA,NA,NA
"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct",77,7,2,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,178.88571924187082,-82.44285962093541,1,NA,NA,NA
"Glenelg","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",98,6,2,1,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,144.08376213769648,-68.04188106884824,1,NA,NA,NA
"Glenelg","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",80,5,2,1,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,142.2487909232408,-65.1243954616204,1,NA,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",80,5,2,2,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,194.81376871860027,-91.40688435930014,1,NA,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",80,5,2,2,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,190.71694585094863,-89.35847292547432,1,NA,NA,NA
"O'Sullivan","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",98,9,2,1,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,118.85790897097286,-55.42895448548643,1,NA,NA,NA
"O'Sullivan","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",52,6,1,1,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,98.98546431241658,-42.49273215620829,1,NA,NA,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",57,4,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,103.4751674778324,-45.7375837389162,1,NA,NA,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",35,2,1,2,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,85.22741871950302,-37.61370935975151,1,NA,NA,NA
"Orcades Bank - Orcades Bank Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ 1",12,1,1,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,32.27499726118394,-15.137498630591969,1,NA,NA,NA
"Orcades Bank - Orcades Bank Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ 1",12,1,1,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,32.27499726118394,-15.137498630591969,1,NA,NA,NA
"Port Gibbon - Port Gibbon Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,83.05255702190907,-36.52627851095453,1,NA,NA,NA
"Port Gibbon - Port Gibbon Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",48,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,83.05255702190907,-36.52627851095453,1,NA,NA,NA
