"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","link","selection_reason","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","dispersion_parameter","tweedie_power","model_warnings","model_error"
"Glenelg","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",76,5,2,1,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,301.1229972495894,-142.5614986247947,2.9147433013821353,1.3755012622753497,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | uwa_site_code)",24,1,1,2,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,1.0000000000000009,1.0000000000000133,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ Status + (1 | uwa_site_code)",24,1,1,2,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,1.0000000000000009,1.0000000000000133,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"O'Sullivan","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",69,6,2,1,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,175.60522969878764,-81.80261484939382,1.9196482460849602,1.1522490075358147,NA,NA
"O'Sullivan","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",69,6,2,1,5,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,175.99449603430415,-78.99724801715207,1.7202015460926936,1.1255505857225125,NA,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",19,2,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,0.9999999985128735,1.000000000000323,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",19,2,2,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,0.9999999985128735,1.000000000000323,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Port Gibbon - Port Gibbon Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",41,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,0.9999999555695811,1.0000000000000997,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Port Gibbon - Port Gibbon Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",41,2,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,0.9999999555695811,1.0000000000000997,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct)",19,5,2,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,102.55955142718005,-46.27977571359003,1.6570278750404879,1.0129684148132774,NA,NA
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct",19,5,2,1,1,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,106.30116926613253,-46.150584633066266,1.656960101786969,1.0129669333181794,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",143,7,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,898.7208934544884,-441.3604467272442,1.8619750530885584,1.2785458529775262,NA,NA
