"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom",67.52030119861719,10.590303003524607,Inf,49.65084444211273,91.82101785332682,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",59.79251179342382,24.204746695823633,Inf,27.043936539925394,132.1976355509,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",54.350210593222094,26.08642653378171,Inf,21.21537517644848,139.23606662430424,"Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",37.05107687601266,24.941277601412892,Inf,9.903907732929946,138.61016627888958,"Boston Bay","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",21.381354518673263,3.322982442012844,Inf,15.766879820952601,28.995104056394634,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",21.04612889939606,3.3266946949712843,Inf,15.439225263892341,28.689233693992087,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",65.24089472677748,6.38308200771571,Inf,53.85666864894183,79.03151924407214,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",112.57505477214595,15.09593440488204,Inf,86.55634645501053,146.41494790377723,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",42.4086610400043,19.408331851395513,Inf,17.294261099063768,103.99371912474136,"Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",19.996228221309337,12.713816965544702,Inf,5.7510214686684265,69.52663022683308,"Glenelg","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",72.47043336445161,6.775869737845866,Inf,60.33577200677545,87.0456039153961,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",105.40448612660117,16.337225703007967,Inf,77.79051537479916,142.82082644759112,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",34.16666554968225,4.520610601653829,Inf,26.36207825449358,44.28182875092028,"Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics","overall","total_abundance"
"Pre-bloom",30.766519050696342,4.026641909762941,Inf,23.805391093701527,39.763207030331394,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",26.028025905489866,5.670454422175643,Inf,16.982390840296976,39.89179962395712,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",43.33016288458224,3.2960721318502793,Inf,37.32849396158502,50.29677911829442,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Bloom",51.74215893869432,6.566792052935782,Inf,40.347381567281936,66.3550125842147,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Tweedie (log link)","tweedie","log","Tweedie with a log link was specified for non-richness metrics",NA,"total_abundance"
"Pre-bloom",9.843780377999218,1.2117026541226679,Inf,7.733654644832936,12.529653389038254,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",7.48753945866123,1.4173626957795815,Inf,5.1666603752641205,10.85096427344384,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",5.903668803485769,0.7566394898728614,Inf,4.592279879135707,7.589542941318004,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",5.527957580602978,1.204488857585116,Inf,3.606584083923427,8.47292460174754,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",6.46718785879118,1.0193055407521414,Inf,4.748495312884814,8.807952002691723,"Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",6.24334598028838,1.2007600454549445,Inf,4.282613706898672,9.10177095048123,"Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",9.157192073257447,0.6180164935905756,Inf,8.022596589211037,10.452247689893559,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",7.540630683905047,0.5605676252692121,Inf,6.518229854082728,8.723397668376952,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",10.928351208535094,1.2574432373435815,Inf,8.721943712422839,13.692918009432407,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",12.462190816974328,3.7402134290056477,Inf,6.920343347607717,22.44197898249758,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",10.21941582967511,0.9151491937037296,Inf,8.574344540703404,12.18011002520861,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",8.910802260624386,0.8473356932460446,Inf,7.395632709366283,10.736389981534456,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",4.562071891394754,0.5340001898966712,Inf,3.626829829506026,5.738482619982414,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",4.373213900046938,0.4787135135784994,Inf,3.528775343380263,5.41972722957298,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",12.231621169869642,1.156700246834688,Inf,10.16222872665195,14.722415767992125,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",20.92050620852003,2.96862868356665,Inf,15.841136261289961,27.628547144703706,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",6.963268075907586,1.9294331907713942,Inf,4.045348794396277,11.985889168350411,"Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",3.1030216563368307,1.1117315191676136,Inf,1.5375227535589797,6.262504653935847,"Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",8.309520389361872,0.392527091962523,Inf,7.574721988055722,9.115599121670725,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",7.343683557069971,0.5863019256548679,Inf,6.279948512266998,8.587600373002388,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",6.792275592974342,1.1110284211719836,Inf,4.929266167551895,9.359406889936267,"O'Sullivan","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",4.355204772976995,0.8831029253101551,Inf,2.9269198028436176,6.480467485352222,"O'Sullivan","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",4.857374979047335,0.7638972252705352,Inf,3.568921898578252,6.61098571433414,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Bloom",2.746275639583369,0.5862431862399873,Inf,1.8073383168073494,4.173003924296801,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"Pre-bloom",12.91666669528423,1.0374915478574653,Inf,11.035202464290322,15.118914134738928,"Orcades Bank - Orcades Bank Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics","overall","richness"
"Pre-bloom",7.645813135397567,0.6520527304570285,Inf,6.468911830531137,9.036830309776873,"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
