"reporting_name","metric","family_code","model_family","error"
"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model Hessian was not positive definite | Model AIC was not finite"
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model Hessian was not positive definite | Model AIC was not finite"
"The Pages - The Pages Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge"
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","tweedie","Tweedie (log link)","Model did not converge | Model Hessian was not positive definite | Model AIC was not finite"
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Abundance > 200 mm","tweedie","Tweedie (log link)","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Middle/Long Spit - Middle Spit Sanctuary Zone","Abundance > 200 mm","tweedie","Tweedie (log link)","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","tweedie","Tweedie (log link)","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Port Gibbon - Port Gibbon Sanctuary Zone","Abundance > 200 mm","tweedie","Tweedie (log link)","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","tweedie","Tweedie (log link)","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
