site_name,status,period_CAP1,period_n_events,status_CAP1,status_n_events
Aldinga Pinacles,No-take,-0.4138528573983813,5,-0.9776213741802565,5
Aldinga Reef,No-take,-0.43125939223422666,5,-0.8800273837977843,5
Aldinga SZ1,No-take,0.31994736213549835,2,-0.7798992427474154,2
Aldinga SZ3,No-take,0.5119389497253297,2,0.23431787822827038,2
Gull Rock,Fished,0.912651360757972,2,0.6831337044496629,2
Horseshoe inner,Fished,0.337137034780029,13,0.3017309484581701,13
Horseshoe outer,Fished,-0.06354363049404964,10,0.8167192807158637,10
Moana inside,Fished,0.37227027761823694,8,0.9739654165914942,8
Moana outside,Fished,-0.28295243932692205,12,0.12570502097868186,12
Noarlunga North Outside,No-take,-0.6100892991374022,11,-1.0625725407489361,11
Noarlunga South Outside,No-take,0.244400471718088,4,-0.8668709638865462,4
Pt Noarlunga inside,No-take,-0.3253196818287479,8,-0.7087607764861275,8
Southport,Fished,0.7267372605058049,5,1.0902887479705454,5
Willunga,Fished,0.7028864541475863,3,0.9992282214196504,3
