site_name,status,CAP1,MDS1,n_events
Aldinga Pinacles,No-take,-0.4138528573983813,-0.7247225208076243,5
Aldinga Reef,No-take,-0.43125939223422666,-0.6393058813612347,5
Aldinga SZ1,No-take,0.31994736213549835,-0.6711092695619065,2
Aldinga SZ3,No-take,0.5119389497253297,0.17535219648189593,2
Gull Rock,Fished,0.912651360757972,0.30811579511384607,2
Horseshoe inner,Fished,0.337137034780029,0.17894163340147512,13
Horseshoe outer,Fished,-0.06354363049404964,0.6125015768670141,10
Moana inside,Fished,0.37227027761823694,0.7934408399061478,8
Moana outside,Fished,-0.28295243932692205,-0.012159500744455824,12
Noarlunga North Outside,No-take,-0.6100892991374022,-0.7744453252079081,11
Noarlunga South Outside,No-take,0.244400471718088,-0.5854743022002291,4
Pt Noarlunga inside,No-take,-0.3253196818287479,-0.4348422633604751,8
Southport,Fished,0.7267372605058049,0.9219262083059236,5
Willunga,Fished,0.7028864541475863,0.7574859016712289,3
